# Pension minière : valeur du trimestre de services et coefficient de majoration
# ---------------------------------------------------------------------------
# source_id: legifrance_textes, cdc_mines_baremes
#
# LA PENSION DU MINEUR EST UN PRODUIT DE TROIS FACTEURS, et la fiche du régime
# n'en portait que deux. L'article 131 du décret n° 46-2769 du 27 novembre
# 1946 la fait égale « au produit de la durée de services par la valeur du
# trimestre de services de l'année de leur prise d'effet » ; l'article 131-1,
# créé par le décret n° 2002-800 du 3 mai 2002, affecte cette durée « d'un
# coefficient de majoration déterminé en fonction de la date de prise d'effet
# de la pension ». Le coefficient vaut 1,473 en 2026 : une pension minière
# liquidée cette année vaut 47 % de plus que la durée multipliée par la valeur
# du trimestre. Le modèle ne servait que ce produit : 12 299 € par an pour
# trente ans de mine liquidés en 2026, quand la caisse en liquide 17 172.
#
# LA VALEUR DU TRIMESTRE suit les pensions du régime général, non les prix :
# « les pensions et allocation une fois liquidées sont revalorisées […] dans
# les conditions prévues à l'article 181 », qui renvoie à L. 161-23-1 du code
# de la sécurité sociale. La fiche la portait par l'indice des prix depuis
# ses trois ancres de 1992, 2002 et 2013 : 102,49 € en 2026 pour 97,15 €,
# 5,5 % de trop. Chaque ligne ci-dessous est la chaîne des coefficients de
# revalorisation des pensions (`revalorisation_pensions.csv` ; en 2020, celui
# des pensions au-delà de 2 014 € par mois, 0,3 %), partie des 382,08 F que
# l'article 131 fixait au 1er juillet 1992 (58,25 €), avec les 2 % du
# protocole du 27 septembre 2001 au 1er janvier 2001 — et arrondie au centime
# à la fin, non à chaque marche. Ainsi portée, elle retombe AU CENTIME sur
# toutes les valeurs que les textes et la caisse publient :
#   67,73 € au 1er janvier 2001 et 69,22 € au 1er janvier 2002 (article 131,
#   rédaction du décret n° 2002-800) ; 82,83 € au 1er avril 2013 (article 131,
#   rédaction de 2015, LEGIARTI000031137562) ; 89,47 € en 2023, 94,21 € au
#   1er janvier 2024, 96,28 € au 1er janvier 2025 et 97,15 € au 1er janvier
#   2026 (tableaux « Barèmes et revalorisations » de la Caisse des dépôts,
#   gestionnaire du régime, 2024 à 2026). Le COR donne les mêmes 94,21 € et
#   l'exemple qui les multiplie : `tests/temoins/exemples_officiels.yaml`.
# Arrondie à chaque marche, elle en manque une : partie des 82,83 € de 2013,
# elle donne 89,46 € en 2023. Les valeurs que ni un texte ni la caisse ne
# publient sont donc calculées ainsi, et `tests/test_mines.py` refait la
# chaîne depuis la table de revalorisation. Une ligne n'est `certifiee` que
# si ses deux nombres ont été lus — la valeur dans un texte ou un tableau de
# la caisse, le coefficient dans l'index JORF du dépôt ou dans l'article
# 131-2 ; les autres sont `haute`, sauf 2002 et 2005, `estimee` (plus bas).
#
# LE COEFFICIENT (article 131-1). Pour 2002, « 1,17 fois le quotient » de
# l'évolution du salaire moyen par tête de 2001 prévue par le rapport annexé
# au projet de loi de finances et du coefficient de revalorisation des
# pensions de 2002 ; ensuite, le coefficient de l'année précédente multiplié
# par le même quotient, « qui ne peut pas être inférieur à 1 ». Un arrêté le
# fixe chaque année ; ceux de 2003 à 2025 ont été lus sur Légifrance (les
# articles 1er de 2021, 2022 et 2026 aussi dans l'index JORF du dépôt, qui a
# écarté les autres de son champ) :
#   1,194 (2003), 1,200 (2004), 1,21 (2006), 1,228 (2007), 1,255 (2008),
#   1,287 (2009), 1,293 au 1er avril 2010, 1,294 au 1er avril 2011, 1,305 au
#   1er avril 2012, 1,319 au 1er avril 2013, 1,340 au 1er octobre 2015,
#   1,351 au 1er octobre 2017, 1,374 au 1er janvier 2019, 1,395 au 1er
#   janvier 2020 et pour 2021, 1,446 au 1er janvier 2022, 2023 et 2024,
#   1,454 au 1er janvier 2025, 1,473 au 1er janvier 2026 (arrêté du
#   9 février 2026, qui remplace le 1,446 de l'arrêté du 18 décembre 2025).
# Aucun arrêté pour 2002 — le décret donne la formule, non le nombre —, ni
# pour 2005, 2014, 2016 et 2018 : la ligne précédente reste en vigueur, et
# 2002 porte le plancher de 1,17 au niveau `estimee` (le quotient n'est pas
# connu ; il est d'au moins un, et l'écart au 1,194 de 2003 le borne à 2 %).
# Le tableau 2026 de la Caisse des dépôts, daté du 17 juin 2026, écrit encore
# 1,454 « au 1er janvier 2025 » : c'est l'arrêté qui fait foi.
#
# ET 2001 : l'article 131-2 majore de 17 % les trimestres des pensions
# prenant effet en 2001, avec effet au 1er janvier 2001 — c'est le coefficient
# de ces liquidations-là. Les pensions de 1987 à 2000 reçoivent de 0,5 à 14 %,
# mais à compter de 2001 seulement : ce n'est pas un droit de la liquidation,
# et la table n'en porte pas (voir `docs/limites.md`).
#
# AU-DELÀ DE LA DERNIÈRE LIGNE, le moteur prolonge la valeur par les prix de
# l'année écoulée — la revalorisation du 1er janvier les suit — et le
# coefficient par le quotient de la loi : salaire moyen de l'année écoulée
# sur prix de l'année écoulée, jamais inférieur à un.
date_effet,valeur_trimestre,coefficient,fiabilite,reference
1992-07-01,58.25,1.0,certifiee,"article 131, rédaction du 1er janvier 1993 : 382,08 F"
1993-01-01,59.00,1.0,haute,revalorisation des pensions
1994-01-01,60.19,1.0,haute,revalorisation des pensions
1995-01-01,60.91,1.0,haute,revalorisation des pensions
1995-07-01,61.21,1.0,haute,revalorisation des pensions
1996-01-01,62.44,1.0,haute,revalorisation des pensions
1997-01-01,63.19,1.0,haute,revalorisation des pensions
1998-01-01,63.88,1.0,haute,revalorisation des pensions
1999-01-01,64.65,1.0,haute,revalorisation des pensions
2000-01-01,64.97,1.0,haute,revalorisation des pensions
2001-01-01,67.73,1.17,certifiee,"articles 131 et 131-2, rédaction du décret n° 2002-800"
2002-01-01,69.22,1.17,estimee,"article 131 ; article 131-1, plancher de la formule de 2002"
2003-01-01,70.26,1.194,haute,arrêté du 12 février 2003
2004-01-01,71.45,1.2,haute,arrêté du 6 février 2004
2005-01-01,72.88,1.2,estimee,aucun arrêté trouvé pour 2005
2006-01-01,74.19,1.21,haute,arrêté du 12 janvier 2006
2007-01-01,75.53,1.228,haute,arrêté du 12 janvier 2007
2008-01-01,76.36,1.255,haute,arrêté du 24 janvier 2008
2008-09-01,76.97,1.255,haute,revalorisation des pensions
2009-01-01,76.97,1.287,haute,arrêté du 7 mai 2009
2009-04-01,77.74,1.287,haute,revalorisation des pensions
2010-04-01,78.44,1.293,haute,arrêté du 13 octobre 2010
2011-04-01,80.08,1.294,haute,arrêté du 19 mai 2011
2012-04-01,81.77,1.305,haute,arrêté du 6 avril 2012
2013-04-01,82.83,1.319,haute,"article 131, rédaction de 2015 ; arrêté du 9 avril 2013"
2015-10-01,82.91,1.34,haute,arrêté du 4 janvier 2016
2017-10-01,83.58,1.351,haute,arrêté du 24 novembre 2017
2019-01-01,83.83,1.374,haute,arrêté du 20 février 2019
2020-01-01,84.08,1.395,haute,arrêté du 29 janvier 2020
2021-01-01,84.41,1.395,haute,"arrêté du 27 décembre 2021, article 1er (index JORF)"
2022-01-01,85.34,1.446,haute,"arrêté du 27 décembre 2021, article 1er (index JORF)"
2022-07-01,88.76,1.446,haute,revalorisation des pensions
2023-01-01,89.47,1.446,haute,"Caisse des dépôts, barèmes 2024 ; arrêté du 26 décembre 2022"
2024-01-01,94.21,1.446,haute,"Caisse des dépôts, barèmes 2024 ; arrêté du 26 décembre 2023"
2025-01-01,96.28,1.454,haute,"Caisse des dépôts, barèmes 2025 ; arrêté du 31 janvier 2025"
2026-01-01,97.15,1.473,certifiee,"Caisse des dépôts, barèmes 2026 ; arrêté du 9 février 2026, article 1er (index JORF)"
