# Coefficients de revalorisation des pensions de vieillesse servies
# -----------------------------------------------------------------
# source_id: cnav_revalorisation_pensions
#
# Fichier écrit par scripts/fetch/cnav_revalorisation_pensions.py :
# ne pas modifier à la main.
#
# UNE LIGNE PAR DATE D'EFFET, telle que la Cnav la publie dans son barème
# « Coefficients de revalorisation des retraites » : le coefficient multiplie
# toute pension du régime général ayant pris effet AVANT cette date. C'est la
# règle de l'article L. 161-23-1 du code de la sécurité sociale, que suivent
# aussi les régimes alignés, les deux régimes agricoles et, par renvoi de
# l'article L. 16 de leur code, les pensions civiles et militaires depuis le
# 19 décembre 2008 (voir revalorisation_pensions_fonction_publique.csv pour
# les années d'avant).
#
# Une année sans ligne est une année sans revalorisation : 2014 (gel), 2016,
# 2018 (date d'effet reportée au 1er janvier 2019). Un coefficient manquant
# vaut un.
#
# 2020 porte CINQ lignes, selon le montant total brut mensuel des retraites de
# base et complémentaires du mois précédent (loi n° 2019-1446, art. 81) :
# `mensuel_superieur_a` exclu, `mensuel_au_plus` inclus, en euros par mois.
# Vides ailleurs.
#
# fiabilite : `haute`. Le barème est la publication de la caisse, non le
# Journal officiel : il transcrit l'arrêté, la loi ou l'instruction qu'il cite.
date_effet,coefficient,mensuel_superieur_a,mensuel_au_plus,reference,fiabilite
1949-01-01,1.17,,,Arrêté du 23/06/1949,haute
1949-04-01,1.15,,,Arrêté du 16/08/1949,haute
1950-01-01,1.15,,,Arrêté du 19/04/1950,haute
1951-01-01,1.16,,,Arrêté du 16/04/1951,haute
1952-04-01,1.1,,,Arrêté du 02/10/1952,haute
1953-04-01,1.2,,,Arrêté du 03/10/1953,haute
1955-04-01,1.09,,,Arrêté du 08/04/1955,haute
1956-04-01,1.085,,,Arrêté du 30/04/1956,haute
1957-04-01,1.12,,,Arrêté du 18/04/1957,haute
1958-04-01,1.075,,,Arrêté du 14/04/1958,haute
1959-04-01,1.135,,,Arrêté du 04/05/1959,haute
1960-04-01,1.105,,,Arrêté du 11/05/1960,haute
1961-04-01,1.077,,,Arrêté du 25/04/1961,haute
1962-04-01,1.15,,,Arrêté du 14/04/1962,haute
1963-04-01,1.16,,,Arrêté du 25/03/1963,haute
1964-04-01,1.12,,,Arrêté du 13/04/1964,haute
1965-04-01,1.11,,,Arrêté du 22/04/1965,haute
1966-04-01,1.069,,,Arrêté du 14/04/1966,haute
1967-04-01,1.058,,,Arrêté du 31/03/1967,haute
1968-04-01,1.056,,,Arrêté du 08/05/1968,haute
1969-01-01,1.04,,,Arrêté du 27/01/1969,haute
