# Assiette des revenus d'activité, en niveau — France
# source_id: insee_assiette_activite
# unite: millions d'euros courants
# fiabilite:
#   certifiee (1949-) : comptes nationaux annuels base 2020, lus chez
#             l'INSEE et recontrôlés par scripts/verifier_donnees.py.
#             `salaires_bruts` vient de la banque de données
#             macroéconomiques (idbank 011785411), `revenu_mixte` du
#             tableau économique d'ensemble exposé par Melodi
#             (opération B3G, secteur S14).
#
# À QUOI CETTE SÉRIE SERT
# ------------------------
# À dire SUR QUOI l'on prélève, et donc ce qu'un taux de cotisation
# rapporte réellement. Le reste du dépôt travaille en rapports — de
# masses de pension, de cotisations — parce qu'un rapport est robuste ;
# mais un rapport de taux LÉGAUX appliqué à des ressources OBSERVÉES
# transporte avec lui la structure du dénominateur, exonérations
# comprises. C'est cette série qui permet de le voir : en 2024, les
# deux postes font 1 250 Md€, soit 42,5 % du PIB, et le système de
# retraite y prélève 24,9 points de cotisations là où le taux légal
# d'un salarié type est de 28 à 29 %.
#
# LES DEUX POSTES, ET POURQUOI IL EN FAUT DEUX
# ---------------------------------------------
# `salaires_bruts` est l'assiette des salariés : c'est sur le salaire
# brut que les deux parts de la cotisation sont calculées, et c'est
# aussi sur le traitement que l'État verse sa contribution d'équilibre.
# `revenu_mixte` est celle des non-salariés. Les additionner suppose
# que l'on tienne le revenu mixte pour un revenu du TRAVAIL, ce qu'il
# n'est qu'en partie : il rémunère aussi le capital de l'entrepreneur
# individuel. Le compte national ne les sépare pas, l'assiette sociale
# non plus, et la convention est donc celle des deux.
#
# UN CONTRÔLE EXTERNE, ET IL TOMBE À 3,8 %
# -----------------------------------------
# Le tableau 2.11 du rapport annuel du COR chiffre l'ajustement
# nécessaire à l'équilibre DEUX FOIS : en pour-cent de la masse de
# pension et en points de taux de prélèvement. Le rapport des deux
# donne son assiette sans qu'il ait eu à la publier — 3,19 fois la
# masse de pension, soit 1 298 Md€ en 2024 contre 1 250 ici. Les deux
# routes sont indépendantes : l'une ne doit rien au COR, l'autre rien
# à l'INSEE.
#
# Ne pas modifier à la main : les valeurs seraient écrasées au prochain
# scripts/verifier_donnees.py --appliquer.
annee,poste,montant_meur,fiabilite
1949,revenu_mixte,3411.8,certifiee
1949,salaires_bruts,4635.0,certifiee
1950,revenu_mixte,3950.2,certifiee
1950,salaires_bruts,5139.0,certifiee
1951,revenu_mixte,4752.4,certifiee
1951,salaires_bruts,6539.0,certifiee
1952,revenu_mixte,5424.6,certifiee
1952,salaires_bruts,7830.0,certifiee
1953,revenu_mixte,5409.0,certifiee
1953,salaires_bruts,8138.0,certifiee
1954,revenu_mixte,5635.2,certifiee
1954,salaires_bruts,8790.0,certifiee
1955,revenu_mixte,5914.7,certifiee
1955,salaires_bruts,9500.0,certifiee
1956,revenu_mixte,6206.7,certifiee
1956,salaires_bruts,10672.0,certifiee
1957,revenu_mixte,6959.1,certifiee
1957,salaires_bruts,11981.0,certifiee
1958,revenu_mixte,8023.9,certifiee
1958,salaires_bruts,13676.0,certifiee
1959,revenu_mixte,8134.7,certifiee
1959,salaires_bruts,14948.0,certifiee
1960,revenu_mixte,9092.9,certifiee
1960,salaires_bruts,16305.0,certifiee
1961,revenu_mixte,9252.1,certifiee
1961,salaires_bruts,17974.0,certifiee
1962,revenu_mixte,10599.4,certifiee
1962,salaires_bruts,20205.0,certifiee
1963,revenu_mixte,11119.5,certifiee
1963,salaires_bruts,23023.0,certifiee
1964,revenu_mixte,11659.1,certifiee
1964,salaires_bruts,25556.0,certifiee
1965,revenu_mixte,12324.4,certifiee
1965,salaires_bruts,27438.0,certifiee
1966,revenu_mixte,13267.7,certifiee
1966,salaires_bruts,29566.0,certifiee
1967,revenu_mixte,14277.8,certifiee
1967,salaires_bruts,31782.0,certifiee
1968,revenu_mixte,14855.4,certifiee
1968,salaires_bruts,35706.0,certifiee
1969,revenu_mixte,15819.7,certifiee
1969,salaires_bruts,40748.0,certifiee
1970,revenu_mixte,17202.4,certifiee
1970,salaires_bruts,46373.0,certifiee
1971,revenu_mixte,18249.8,certifiee
1971,salaires_bruts,52337.0,certifiee
1972,revenu_mixte,20609.5,certifiee
1972,salaires_bruts,58578.0,certifiee
1973,revenu_mixte,22393.3,certifiee
1973,salaires_bruts,67614.0,certifiee
1974,revenu_mixte,24292.1,certifiee
