# Caractéristiques des retraités par sexe
# source_id: drees_eir_caracteristiques
# unite: milliers, euros par mois, pour cent, années — selon l'indicateur
# fiabilite:
#   certifiee : feuille « Quintiles », colonne « Ensemble », du
#             classeur « Caractéristiques de tous les retraités » de
#             l'EIR, diffusé par la DREES et recontrôlé par
#             scripts/verifier_donnees.py.
#
# À QUOI CETTE SÉRIE SERT
# ------------------------
# À mesurer de combien le scénario 6 déplace les pensions des femmes
# PLUS que celles des hommes. Le modèle déplaçait toute la
# distribution d'un facteur unique, en sachant que le scénario retire
# des droits non cotisés que les femmes détiennent plus souvent — donc
# que son coût était une borne basse, d'un montant que personne ne
# mesurait. Deux indicateurs suffisent :
#
#   duree_validee_non_cotisee  un compte notionnel ne crédite que ce
#       qui a été cotisé : une année validée sans cotisation n'y porte
#       RIEN, qu'elle vienne de l'AVPF, du chômage, de la maladie ou
#       d'une majoration de durée. C'est le terme qui domine.
#   pension_droit_direct et pension_droit_direct_majorations  leur
#       écart est la majoration pour enfants, proportionnelle à la
#       pension : elle pèse donc un peu MOINS chez les femmes, dont
#       les pensions sont plus basses. Ce terme joue à l'envers de
#       l'intuition, et c'est pourquoi il vaut mieux le lire.
#
# `effectifs` porte en outre le poids des deux sexes — 52,8 % de
# femmes en 2020 —, que le dépôt AJUSTAIT jusque-là sur les trois
# colonnes de la distribution faute de le lire quelque part.
#
# CE QUI N'Y EST PAS, ET QUI IRAIT DANS LE MÊME SENS : ce que le
# minimum de pension APPORTE à ses bénéficiaires. Le classeur en donne
# la part — 46,5 % des femmes contre 26,1 % des hommes — et non le
# montant. Le retirer creuserait l'écart davantage.
#
# Ne pas modifier les valeurs certifiées à la main : elles seraient
# écrasées au prochain scripts/verifier_donnees.py --appliquer.
annee,indicateur,sexe,valeur,fiabilite
2020,beneficiaires_minimum_pension,F,4062.0,certifiee
2020,beneficiaires_minimum_pension,H,2038.0,certifiee
2020,beneficiaires_minimum_pension,ensemble,6100.0,certifiee
2020,beneficiaires_minimum_regime_principal,F,3360.0,certifiee
2020,beneficiaires_minimum_regime_principal,H,966.0,certifiee
2020,beneficiaires_minimum_regime_principal,ensemble,4326.0,certifiee
2020,coefficient_proratisation,F,83.3,certifiee
2020,coefficient_proratisation,H,90.4,certifiee
2020,coefficient_proratisation,ensemble,86.9,certifiee
2020,duree_validee,F,36.0,certifiee
2020,duree_validee,H,40.0,certifiee
2020,duree_validee,ensemble,38.0,certifiee
2020,duree_validee_non_cotisee,F,26.0,certifiee
2020,duree_validee_non_cotisee,H,10.9,certifiee
2020,duree_validee_non_cotisee,ensemble,18.9,certifiee
2020,effectifs,F,8736.0,certifiee
2020,effectifs,H,7816.0,certifiee
2020,effectifs,ensemble,16552.0,certifiee
2020,part_minimum_pension,F,46.5,certifiee
2020,part_minimum_pension,H,26.1,certifiee
2020,part_minimum_pension,ensemble,36.9,certifiee
2020,pension_droit_direct,F,1122.0,certifiee
2020,pension_droit_direct,H,1784.0,certifiee
2020,pension_droit_direct,ensemble,1435.0,certifiee
2020,pension_droit_direct_majorations,F,1152.0,certifiee
2020,pension_droit_direct_majorations,H,1840.0,certifiee
2020,pension_droit_direct_majorations,ensemble,1476.0,certifiee
