# Le compte du système de retraite sous chaque variante du COR, en part du PIB
# source_id: cor_comptes_systeme_retraite
# unite: part du produit intérieur brut, en fraction
# fiabilite:
#   projetee (2026-2070) : figures de sensibilité du rapport annuel. Une
#             variante est une projection de part en part ; aucune de ses
#             années n'est une observation.
#
# CE QUE CE FICHIER RÉPARE
# --------------------------
# comptes_retraite.csv ne porte que la colonne « Sc. Ref ». Le dépôt lisait
# donc le même compte quel que soit le scénario demandé : choisir la
# variante haute de productivité déplaçait la dépense des systèmes
# notionnels, qui est CALCULÉE, sans déplacer celle du droit en vigueur,
# qui est EMPRUNTÉE. Le rapport des deux montait à juste titre — un compte
# notionnel indexé sur la masse salariale profite moins de la croissance
# qu'un droit indexé sur les prix — mais il était appliqué à un niveau gelé,
# et comptait donc deux fois dans le même sens. La proposition perdait
# 0,58 point de PIB en 2070 pour la seule raison qu'on avait demandé plus
# de croissance.
#
# DEUX DIMENSIONS, QUE LE COR SÉPARE ET QUI NE SE DÉDUISENT PAS
# --------------------------------------------------------------
# Les variantes de PRODUCTIVITÉ tiennent toutes le chômage à 7 % ; les
# variantes de CHÔMAGE tiennent toutes la productivité à 0,7 %. Une
# croissance plus forte n'apporte pas moins de chômage dans l'exercice du
# COR, et le dépôt ne le suppose pas davantage. Les noms de variantes sont
# ceux de hypotheses_projection.yaml, qui porte aussi l'étiquette sous
# laquelle chaque figure les écrit.
#
# LA RESSOURCE EST DÉRIVÉE, ET LA DÉRIVATION EST CONTRÔLÉE
# ----------------------------------------------------------
# Ces figures publient la DÉPENSE et le SOLDE, jamais la ressource, qui est
# la somme des deux. La ligne de référence de chaque figure est confrontée
# au compte principal avant qu'une seule valeur ne soit écrite : si elle le
# redonne au millionième, la même arithmétique vaut pour ses autres lignes.
# Sur le rapport de juin 2026, elle le redonne.
#
# CE QUE CE FICHIER NE PORTE PAS. Le taux de prélèvement, que le COR ne
# publie que dans le scénario de référence (figure 2.9) : profil_taux garde
# donc la forme de la référence sous toutes les variantes. Et la STRUCTURE
# des ressources, publiée elle aussi pour la seule référence.
#
# Ne pas modifier ces valeurs à la main : elles seraient écrasées
# au prochain scripts/verifier_donnees.py --appliquer.
annee,poste,variante,part_pib,fiabilite
2026,depenses,cor_chomage_bas,0.141262,projetee
2026,depenses,cor_chomage_haut,0.141262,projetee
2026,depenses,cor_productivite_basse,0.141262,projetee
2026,depenses,cor_productivite_haute,0.141262,projetee
2026,ressources,cor_chomage_bas,0.139645,projetee
2026,ressources,cor_chomage_haut,0.139643,projetee
2026,ressources,cor_productivite_basse,0.139645,projetee
2026,ressources,cor_productivite_haute,0.139645,projetee
2027,depenses,cor_chomage_bas,0.142247,projetee
2027,depenses,cor_chomage_haut,0.142247,projetee
2027,depenses,cor_productivite_basse,0.142247,projetee
2027,depenses,cor_productivite_haute,0.142247,projetee
2027,ressources,cor_chomage_bas,0.140007,projetee
2027,ressources,cor_chomage_haut,0.140004,projetee
2027,ressources,cor_productivite_basse,0.140007,projetee
2027,ressources,cor_productivite_haute,0.140007,projetee
2028,depenses,cor_chomage_bas,0.142291,projetee
2028,depenses,cor_chomage_haut,0.142291,projetee
2028,depenses,cor_productivite_basse,0.142294,projetee
2028,depenses,cor_productivite_haute,0.142294,projetee
2028,ressources,cor_chomage_bas,0.139896,projetee
2028,ressources,cor_chomage_haut,0.139899,projetee
2028,ressources,cor_productivite_basse,0.139895,projetee
2028,ressources,cor_productivite_haute,0.139894,projetee
2029,depenses,cor_chomage_bas,0.141016,projetee
2029,depenses,cor_chomage_haut,0.141016,projetee
2029,depenses,cor_productivite_basse,0.141018,projetee
2029,depenses,cor_productivite_haute,0.141018,projetee
2029,ressources,cor_chomage_bas,0.139296,projetee
2029,ressources,cor_chomage_haut,0.139296,projetee
2029,ressources,cor_productivite_basse,0.139294,projetee
2029,ressources,cor_productivite_haute,0.139293,projetee
2030,depenses,cor_chomage_bas,0.140464,projetee
2030,depenses,cor_chomage_haut,0.141160,projetee
2030,depenses,cor_productivite_basse,0.140788,projetee
2030,depenses,cor_productivite_haute,0.140704,projetee
2030,ressources,cor_chomage_bas,0.138479,projetee
2030,ressources,cor_chomage_haut,0.139128,projetee
2030,ressources,cor_productivite_basse,0.138787,projetee
2030,ressources,cor_productivite_haute,0.138737,projetee
2031,depenses,cor_chomage_bas,0.139767,projetee
2031,depenses,cor_chomage_haut,0.141143,projetee
2031,depenses,cor_productivite_basse,0.140527,projetee
