# La réversion : ce que les caisses versent aux survivants
# source_id: drees_eacr
# unite: millions d'euros courants de l'année
# fiabilite:
#   certifiee (2004-2024) : effectifs et montant mensuel moyen du
#             droit dérivé, feuille A-Cadrage du classeur diffusé par
#             la DREES, recontrôlés par scripts/verifier_donnees.py.
#
# À QUOI CETTE SÉRIE SERT
# ------------------------
# À chiffrer la première dépense non contributive du système, et la
# seule ligne de `legislation/avantages_non_contributifs.yaml` que le
# modèle ne calculera jamais : il décrit une carrière, pas un ménage,
# et n'a ni conjoint, ni date de décès, ni ressources du survivant.
# Là où les autres avantages se mesurent en retirant une règle et en
# refaisant la pension, celui-ci se LIT.
#
# COMMENT LA MASSE EST OBTENUE
# -----------------------------
# Par un produit : le nombre de bénéficiaires d'un droit dérivé
# (champ `ddert` du classeur) par le montant mensuel moyen de ce
# droit-là (colonne `m2`), sur douze mois. La colonne compte : `mont`
# porterait la pension TOTALE du bénéficiaire, droit direct compris,
# et doublerait la masse.
#
# CE QUE LA SOMME DES CAISSES N'EST PAS
# --------------------------------------
# Un effectif de personnes. Un polypensionné touche une réversion à
# la Cnav ET à l'Agirc-Arrco, et la somme des caisses compte deux fois
# la même veuve : 8,5 millions de bénéficiaires contre 4,4 au « Tous
# régimes ». Les MASSES, elles, s'additionnent sans double compte,
# chaque caisse versant la sienne — et leur somme recoupe la ligne
# `tous_regimes` à 2 % près, ce qui est le contrôle interne de cette
# série.
#
# Ne pas modifier ces valeurs à la main : elles seraient écrasées
# au prochain scripts/verifier_donnees.py --appliquer.
annee,caisse,masse_meur,fiabilite
2004,tous_regimes,25382.1,certifiee
2005,tous_regimes,26276.4,certifiee
2006,cnav,7363.8,certifiee
2006,cnieg,449.7,certifiee
2006,ircantec,153.5,certifiee
2006,msa_exploitants,1195.8,certifiee
2006,msa_salaries,994.9,certifiee
2006,ratp,105.1,certifiee
2006,tous_regimes,27000.9,certifiee
2007,cnav,7803.7,certifiee
2007,cnieg,454.3,certifiee
2007,ircantec,160.2,certifiee
2007,msa_exploitants,1199.4,certifiee
2007,msa_salaries,1007.6,certifiee
2007,ratp,106.6,certifiee
2007,sncf,905.1,certifiee
2007,tous_regimes,27877.2,certifiee
2008,cnav,8190.8,certifiee
2008,cnieg,476.8,certifiee
2008,ircantec,166.0,certifiee
2008,msa_exploitants,1208.5,certifiee
2008,msa_salaries,1017.8,certifiee
2008,ratp,105.5,certifiee
2008,sncf,934.4,certifiee
2008,tous_regimes,28686.4,certifiee
2009,cnav,8405.6,certifiee
2009,cnieg,479.9,certifiee
2009,crpcen,52.3,certifiee
2009,ircantec,171.6,certifiee
2009,msa_exploitants,1221.1,certifiee
2009,msa_salaries,1019.3,certifiee
2009,ratp,108.5,certifiee
2009,sncf,931.6,certifiee
2009,tous_regimes,29469.2,certifiee
2010,cnav,8695.7,certifiee
2010,cnieg,487.5,certifiee
2010,crpcen,54.0,certifiee
2010,fonction_publique_etat_civile,2932.5,certifiee
2010,fonction_publique_etat_militaire,1359.0,certifiee
2010,ircantec,176.5,certifiee
2010,msa_exploitants,1208.8,certifiee
2010,msa_salaries,1013.5,certifiee
2010,ratp,108.0,certifiee
2010,sncf,927.4,certifiee
2010,tous_regimes,30810.3,certifiee
2011,cnav,9031.2,certifiee
2011,cnieg,500.2,certifiee
2011,crpcen,56.0,certifiee
2011,fonction_publique_etat_civile,3028.5,certifiee
2011,fonction_publique_etat_militaire,1409.6,certifiee
2011,ircantec,183.6,certifiee
2011,msa_exploitants,1213.0,certifiee
2011,msa_salaries,1023.7,certifiee
2011,ratp,111.4,certifiee
2011,sncf,929.9,certifiee
2011,tous_regimes,30799.1,certifiee
2012,cnav,9330.5,certifiee
2012,cnieg,512.5,certifiee
2012,cnracl,929.8,certifiee
2012,crpcen,57.8,certifiee
2012,fonction_publique_etat_civile,3116.0,certifiee
2012,fonction_publique_etat_militaire,1426.1,certifiee
2012,ircantec,190.5,certifiee
2012,msa_exploitants,1189.5,certifiee
2012,msa_salaries,1018.0,certifiee
2012,ratp,114.1,certifiee
2012,sncf,916.7,certifiee
2012,tous_regimes,31254.7,certifiee
2013,cnav,9556.5,certifiee
2013,cnieg,521.9,certifiee
2013,cnracl,1092.0,certifiee
2013,crpcen,58.5,certifiee
2013,fonction_publique_etat_civile,3189.6,certifiee
2013,fonction_publique_etat_militaire,1433.4,certifiee
2013,ircantec,197.0,certifiee
2013,msa_exploitants,1169.9,certifiee
2013,msa_salaries,1013.0,certifiee
2013,ratp,115.6,certifiee
2013,rci_complementaire,236.4,certifiee
2013,sncf,932.3,certifiee
2013,tous_regimes,32734.4,certifiee
2014,cnav,9635.1,certifiee
2014,cnieg,526.0,certifiee
2014,cnracl,1104.5,certifiee
2014,crpcen,58.8,certifiee
2014,erafp,0.0,certifiee
2014,fonction_publique_etat_civile,3228.8,certifiee
2014,fonction_publique_etat_militaire,1422.6,certifiee
2014,fspoeie,316.5,certifiee
2014,ircantec,201.4,certifiee
2014,msa_exploitants,1167.1,certifiee
2014,msa_exploitants_complementaire,54.1,certifiee
2014,msa_salaries,988.9,certifiee
2014,ratp,115.2,certifiee
2014,rci_complementaire,246.3,certifiee
2014,sncf,906.5,certifiee
2014,tous_regimes,32895.5,certifiee
2015,cnav,9737.1,certifiee
2015,cnieg,528.1,certifiee
2015,cnracl,1130.3,certifiee
