# Les impôts de la retraite qui sont assis sur une rémunération
# source_id: dss_ccss_impots_retraite
# unite: millions d'euros courants de l'année
# fiabilite:
#   haute (2019-…) : comptes arrêtés, lus dans la fiche
#             « contributions sociales et recettes fiscales brutes »
#             des rapports à la Commission des comptes de la Sécurité
#             sociale, section CNAV, recontrôlés par
#             scripts/verifier_donnees.py.
#
# À QUOI CETTE SÉRIE SERT
# ------------------------
# La proposition du Parti libéral cesse d'affecter à la retraite les
# impôts et taxes qui la financent, et rend la moitié de cette recette
# aux salaires. Encore faut-il savoir ce qui, dans ce poste, est
# prélevé SUR UNE RÉMUNÉRATION : le reste est assis sur du capital,
# sur des pensions ou sur un chiffre d'affaires, et le rendre au
# salarié n'aurait pas de sens. Le droit en désigne deux, et deux
# seulement :
#
#   taxe sur les salaires   article 231 du code général des impôts,
#                           dont l'article L. 131-8, 1° du code de la
#                           sécurité sociale verse 58,35 % à la branche
#                           vieillesse ;
#   forfait social          article L. 137-15, dont l'article L. 241-3,
#                           1° donne le produit ENTIER à l'assurance
#                           vieillesse.
#
# Et il dit aussi, ce qui est le résultat le plus contre-intuitif de
# cette lecture, que la CSG sur les revenus d'ACTIVITÉ ne finance
# aucune retraite : ses 9,20 points vont à la CNAF (0,95), à
# l'assurance maladie (4,25), à la CADES (0,45), à l'Unédic (1,47) et
# à la CNSA (2,08) — 9,20 exactement (L. 131-8, 3°).
#
# La série commence en 2019 : jusque-là, le fonds de solidarité
# vieillesse recevait sa propre fraction de ces deux impôts, et la
# seule section CNAV aurait sous-estimé le total sans le dire. Depuis
# le 1er janvier 2019, l'article L. 135-3 ne laisse au fonds que de
# la CSG.
#
# Ne pas modifier ces valeurs à la main : elles seraient écrasées
# au prochain scripts/verifier_donnees.py --appliquer.
annee,poste,montant_meur,fiabilite
2019,forfait_social,5253.0,haute
2019,taxe_sur_les_salaires,6194.0,haute
2020,forfait_social,5427.0,haute
2020,taxe_sur_les_salaires,7759.0,haute
2021,forfait_social,5132.0,haute
2021,taxe_sur_les_salaires,8208.0,haute
2022,forfait_social,6192.0,haute
2022,taxe_sur_les_salaires,8624.0,haute
2023,forfait_social,6360.0,haute
2023,taxe_sur_les_salaires,8989.0,haute
2024,forfait_social,6300.0,haute
2024,taxe_sur_les_salaires,9694.0,haute
2025,forfait_social,6551.0,haute
2025,taxe_sur_les_salaires,11235.0,haute
