# Les retraités selon leur lieu de résidence
# source_id: drees_eir_caracteristiques
# unite: milliers de retraités (effectifs), euros bruts par mois
# fiabilite:
#   certifiee : feuille « Naissance-Résidence » du classeur
#             « Caractéristiques de tous les retraités » de l'EIR,
#             diffusé par la DREES et recontrôlé par
#             scripts/verifier_donnees.py.
#
# `residence` : etranger, france, ensemble — les colonnes « Retraités
# résidents à l'étranger », « Retraités résidents en France » et
# « Ensemble ». `indicateur` : effectifs ; pension_droit_direct et
# pension_droit_direct_majorations, les deux moyennes de droit direct,
# sans et avec les majorations pour enfants ; d1 à d9, q1, mediane et
# q3, les quantiles publiés de la seconde.
#
# À QUOI CETTE SÉRIE SERT
# ------------------------
# À retirer de la distribution des pensions les retraités qui résident
# à l'étranger. Le tableau de la distribution les compte — « résidants
# en France ou à l'étranger », dit sa note —, et la garantie vieillesse
# du scénario 6 ne les sert pas : elle remplace l'ASPA, qui exige une
# résidence stable et régulière en France (article L. 815-1). Ils
# sont 5,5 % des retraités, et presque tous sous le plancher : leur
# pension française moyenne est de 437 € brut par mois, parce que leur
# carrière française a été courte. Les compter gonflait le coût de la
# garantie d'un sixième environ.
#
# Ne pas modifier les valeurs certifiées à la main : elles seraient
# écrasées au prochain scripts/verifier_donnees.py --appliquer.
annee,residence,indicateur,sexe,valeur,fiabilite
2020,ensemble,d1,F,253.0,certifiee
2020,ensemble,d1,H,545.0,certifiee
2020,ensemble,d1,ensemble,298.0,certifiee
2020,ensemble,d2,F,447.0,certifiee
2020,ensemble,d2,H,993.0,certifiee
2020,ensemble,d2,ensemble,626.0,certifiee
2020,ensemble,d3,F,666.0,certifiee
2020,ensemble,d3,H,1266.0,certifiee
2020,ensemble,d3,ensemble,873.0,certifiee
2020,ensemble,d4,F,839.0,certifiee
2020,ensemble,d4,H,1476.0,certifiee
2020,ensemble,d4,ensemble,1090.0,certifiee
2020,ensemble,d6,F,1202.0,certifiee
2020,ensemble,d6,H,1896.0,certifiee
2020,ensemble,d6,ensemble,1559.0,certifiee
2020,ensemble,d7,F,1444.0,certifiee
2020,ensemble,d7,H,2154.0,certifiee
2020,ensemble,d7,ensemble,1830.0,certifiee
2020,ensemble,d8,F,1774.0,certifiee
2020,ensemble,d8,H,2521.0,certifiee
2020,ensemble,d8,ensemble,2155.0,certifiee
2020,ensemble,d9,F,2216.0,certifiee
2020,ensemble,d9,H,3172.0,certifiee
2020,ensemble,d9,ensemble,2695.0,certifiee
2020,ensemble,effectifs,F,8736.0,certifiee
2020,ensemble,effectifs,H,7816.0,certifiee
2020,ensemble,effectifs,ensemble,16552.0,certifiee
2020,ensemble,mediane,F,987.0,certifiee
2020,ensemble,mediane,H,1670.0,certifiee
2020,ensemble,mediane,ensemble,1329.0,certifiee
2020,ensemble,pension_droit_direct,F,1122.0,certifiee
