# Population au 1er janvier par âge, France, 50 ans et plus
# source_id: insee_projections_population
# unite: personnes
# fiabilite:
#   certifiee (1962-2023) : estimations de population de l'INSEE,
#             recontrôlées par scripts/verifier_donnees.py contre
#             l'onglet `population` du classeur du scénario central.
#   estimee   (2024-2070) : projections de population 2026, scénario
#             central. Une projection ne se fait pas passer pour une
#             observation, fût-elle publiée par le producteur de
#             l'observation : c'est le critère 2 du manifeste, et la
#             frontière est datée par l'INSEE lui-même en pied de
#             tableau.
#
# POURQUOI 50 ANS ET PLUS, ET PAS TOUS LES ÂGES
# ----------------------------------------------
# Cette série ne sert qu'à compter des RETRAITÉS. Aucune pension de
# droit direct n'est servie avant 50 ans — le cas type qui part le plus
# tôt, l'agent de conduite de la SNCF, liquide à 52 ans. Reprendre les
# cinquante premiers âges quadruplerait le poids du paquet que charge
# le site sans déplacer un seul chiffre.
#
# Au-delà de 104 ans, le classeur regroupe sous « 105 ans ou plus » :
# 1 570 personnes en 2024, deux millionièmes de la population. Ce
# regroupement reste dehors.
#
# Champ : France métropolitaine jusqu'en 1994, France hors Mayotte de
# 1995 à 2013, France entière ensuite — celui de l'INSEE, non retouché.
#
# Ne pas modifier les années certifiées à la main : elles seraient écrasées
# au prochain scripts/verifier_donnees.py --appliquer.
annee,age,effectif,fiabilite
1962,100,1131,certifiee
1962,101,0,certifiee
1962,102,0,certifiee
1962,103,0,certifiee
1962,104,0,certifiee
1962,50,561578,certifiee
1962,51,593586,certifiee
1962,52,587018,certifiee
1962,53,589125,certifiee
1962,54,568555,certifiee
1962,55,572736,certifiee
1962,56,565915,certifiee
1962,57,560257,certifiee
1962,58,549985,certifiee
1962,59,555048,certifiee
1962,60,539946,certifiee
1962,61,509670,certifiee
1962,62,494348,certifiee
1962,63,465511,certifiee
1962,64,452705,certifiee
1962,65,436769,certifiee
1962,66,383989,certifiee
1962,67,379314,certifiee
1962,68,367723,certifiee
1962,69,339521,certifiee
1962,70,332008,certifiee
1962,71,308983,certifiee
1962,72,307111,certifiee
1962,73,289812,certifiee
1962,74,273432,certifiee
1962,75,252021,certifiee
1962,76,239752,certifiee
1962,77,221063,certifiee
1962,78,197409,certifiee
1962,79,182633,certifiee
1962,80,161483,certifiee
1962,81,141757,certifiee
1962,82,125476,certifiee
1962,83,108736,certifiee
1962,84,93493,certifiee
1962,85,79579,certifiee
1962,86,63264,certifiee
1962,87,51377,certifiee
1962,88,38696,certifiee
1962,89,30617,certifiee
1962,90,18248,certifiee
1962,91,14970,certifiee
1962,92,10016,certifiee
1962,93,6678,certifiee
1962,94,4408,certifiee
1962,95,3303,certifiee
1962,96,1906,certifiee
1962,97,1300,certifiee
1962,98,900,certifiee
1962,99,650,certifiee
1963,100,1361,certifiee
1963,101,0,certifiee
1963,102,0,certifiee
1963,103,0,certifiee
1963,104,0,certifiee
1963,50,606148,certifiee
1963,51,566345,certifiee
1963,52,598489,certifiee
1963,53,590873,certifiee
1963,54,592703,certifiee
1963,55,571125,certifiee
1963,56,574640,certifiee
1963,57,566950,certifiee
1963,58,560480,certifiee
1963,59,549523,certifiee
1963,60,553771,certifiee
1963,61,537271,certifiee
1963,62,506992,certifiee
1963,63,490795,certifiee
1963,64,461496,certifiee
1963,65,448140,certifiee
1963,66,431541,certifiee
1963,67,378728,certifiee
1963,68,373129,certifiee
1963,69,360697,certifiee
1963,70,332169,certifiee
1963,71,323493,certifiee
1963,72,299560,certifiee
1963,73,296481,certifiee
1963,74,277676,certifiee
1963,75,260791,certifiee
1963,76,238807,certifiee
1963,77,225383,certifiee
1963,78,206042,certifiee
1963,79,181925,certifiee
1963,80,167038,certifiee
1963,81,145636,certifiee
1963,82,126139,certifiee
1963,83,110452,certifiee
1963,84,94505,certifiee
1963,85,80025,certifiee
1963,86,66690,certifiee
1963,87,51951,certifiee
1963,88,41779,certifiee
1963,89,30646,certifiee
1963,90,23657,certifiee
1963,91,13731,certifiee
1963,92,11017,certifiee
1963,93,7158,certifiee
1963,94,4640,certifiee
1963,95,2915,certifiee
1963,96,2189,certifiee
1963,97,1204,certifiee
1963,98,854,certifiee
1963,99,620,certifiee
1964,100,1221,certifiee
1964,101,0,certifiee
1964,102,0,certifiee
1964,103,0,certifiee
1964,104,0,certifiee
1964,50,594634,certifiee
1964,51,602286,certifiee
1964,52,562360,certifiee
1964,53,593975,certifiee
1964,54,585709,certifiee
1964,55,587131,certifiee
1964,56,565126,certifiee
1964,57,568031,certifiee
1964,58,559851,certifiee
1964,59,552873,certifiee
1964,60,541145,certifiee
1964,61,544597,certifiee
1964,62,527983,certifiee
1964,63,497540,certifiee
1964,64,480715,certifiee
1964,65,451271,certifiee
1964,66,437489,certifiee
1964,67,420655,certifiee
1964,68,368560,certifiee
1964,69,362104,certifiee
1964,70,348924,certifiee
1964,71,320188,certifiee
1964,72,310569,certifiee
1964,73,286445,certifiee
1964,74,282000,certifiee
1964,75,262463,certifiee
1964,76,244736,certifiee
1964,77,222376,certifiee
1964,78,208057,certifiee
1964,79,188539,certifiee
1964,80,164408,certifiee
1964,81,149966,certifiee
1964,82,128779,certifiee
1964,83,110373,certifiee
1964,84,94565,certifiee
1964,85,79596,certifiee
1964,86,66019,certifiee
1964,87,54073,certifiee
1964,88,41384,certifiee
1964,89,32733,certifiee
1964,90,23405,certifiee
1964,91,17603,certifiee
1964,92,9956,certifiee
1964,93,7762,certifiee
1964,94,4964,certifiee
1964,95,3168,certifiee
1964,96,1940,certifiee
1964,97,1407,certifiee
1964,98,768,certifiee
1964,99,537,certifiee
1965,100,1056,certifiee
1965,101,0,certifiee
1965,102,0,certifiee
1965,103,0,certifiee
1965,104,0,certifiee
1965,50,585147,certifiee
1965,51,591035,certifiee
1965,52,598199,certifiee
1965,53,558063,certifiee
1965,54,589103,certifiee
1965,55,580295,certifiee
1965,56,581485,certifiee
1965,57,559031,certifiee
1965,58,561311,certifiee
1965,59,552815,certifiee
1965,60,544910,certifiee
1965,61,532958,certifiee
1965,62,535370,certifiee
1965,63,518283,certifiee
1965,64,487990,certifiee
1965,65,470666,certifiee
1965,66,441223,certifiee
1965,67,426857,certifiee
1965,68,409824,certifiee
1965,69,358109,certifiee
1965,70,350892,certifiee
1965,71,337079,certifiee
1965,72,308077,certifiee
1965,73,297843,certifiee
1965,74,273892,certifiee
1965,75,267890,certifiee
1965,76,248012,certifiee
1965,77,229570,certifiee
1965,78,207061,certifiee
1965,79,192127,certifiee
1965,80,172390,certifiee
1965,81,148858,certifiee
1965,82,134386,certifiee
1965,83,113854,certifiee
1965,84,96443,certifiee
1965,85,81330,certifiee
1965,86,67432,certifiee
1965,87,54899,certifiee
1965,88,44045,certifiee
1965,89,33169,certifiee
1965,90,26033,certifiee
1965,91,18121,certifiee
1965,92,13238,certifiee
1965,93,7292,certifiee
1965,94,5573,certifiee
1965,95,3506,certifiee
1965,96,2252,certifiee
1965,97,1341,certifiee
1965,98,958,certifiee
1965,99,541,certifiee
1966,100,1019,certifiee
1966,101,0,certifiee
1966,102,0,certifiee
1966,103,0,certifiee
1966,104,0,certifiee
1966,50,391883,certifiee
1966,51,581394,certifiee
1966,52,586850,certifiee
1966,53,593444,certifiee
1966,54,553206,certifiee
1966,55,583711,certifiee
1966,56,574281,certifiee
1966,57,574828,certifiee
1966,58,551980,certifiee
1966,59,553695,certifiee
1966,60,544499,certifiee
1966,61,536201,certifiee
1966,62,523701,certifiee
1966,63,525314,certifiee
1966,64,507809,certifiee
1966,65,477243,certifiee
1966,66,459339,certifiee
1966,67,429873,certifiee
1966,68,415025,certifiee
1966,69,397356,certifiee
1966,70,346385,certifiee
1966,71,338337,certifiee
1966,72,324011,certifiee
1966,73,294722,certifiee
1966,74,283540,certifiee
1966,75,259817,certifiee
1966,76,252448,certifiee
1966,77,232014,certifiee
1966,78,213257,certifiee
1966,79,190305,certifiee
1966,80,174999,certifiee
1966,81,155608,certifiee
1966,82,132560,certifiee
1966,83,118517,certifiee
1966,84,98901,certifiee
1966,85,82781,certifiee
1966,86,68190,certifiee
1966,87,55675,certifiee
1966,88,44375,certifiee
1966,89,35101,certifiee
1966,90,25765,certifiee
1966,91,20074,certifiee
1966,92,13440,certifiee
1966,93,9664,certifiee
1966,94,5159,certifiee
1966,95,3831,certifiee
1966,96,2346,certifiee
1966,97,1483,certifiee
1966,98,890,certifiee
1966,99,646,certifiee
1967,100,1055,certifiee
1967,101,0,certifiee
1967,102,0,certifiee
1967,103,0,certifiee
1967,104,0,certifiee
1967,50,313948,certifiee
1967,51,389566,certifiee
1967,52,577489,certifiee
1967,53,582546,certifiee
1967,54,588443,certifiee
1967,55,548196,certifiee
1967,56,577861,certifiee
1967,57,568002,certifiee
1967,58,568036,certifiee
1967,59,544926,certifiee
1967,60,545642,certifiee
1967,61,536242,certifiee
1967,62,527223,certifiee
1967,63,514348,certifiee
1967,64,514643,certifiee
1967,65,496756,certifiee
1967,66,466153,certifiee
1967,67,447381,certifiee
1967,68,418254,certifiee
1967,69,402884,certifiee
1967,70,384687,certifiee
1967,71,334426,certifiee
1967,72,325848,certifiee
1967,73,310674,certifiee
1967,74,281346,certifiee
1967,75,269229,certifiee
