# Salaire par tranche d'âge, rapporté au salaire moyen de l'année
# source_id: insee_profil_salaire_age
# unite: rapport sans dimension (1,00 = salaire moyen de l'année)
# fiabilite:
#   certifiee (1962-2024, tranches 26-60) : salaire net mensuel en
#             équivalent temps plein, à temps complet, euros constants,
#             recontrôlé par scripts/verifier_donnees.py.
#   certifiee (1996-2024, moins de 26 et plus de 60) : mêmes séries, que
#             l'INSEE ne ventile pas plus tôt sur ces deux bords.
#
# CE QUE CE FICHIER N'EST PAS. Un profil de carrière. Il est AGRÉGÉ :
# il mélange l'effet d'âge et un effet de composition, les jeunes étant
# plus souvent dans les catégories les moins payées. Son écart entre
# les bords vaut 0,46 en 2024, celui des ouvriers 0,24 — le lire comme
# une carrière individuelle surestimerait la progression du double.
# Le modèle ne lui demande que l'ÉVOLUTION de cet écart, qui porte
# l'effet de génération : 1,19 entre 51-60 ans et 26-30 ans en 1962,
# 1,47 en 2000, 1,35 en 2024. La FORME vient de
# profil_salaire_categorie.csv.
#
# Ne pas modifier à la main : les valeurs seraient écrasées au prochain
# scripts/verifier_donnees.py --appliquer.
annee,tranche,salaire_relatif,fiabilite
1962,Y26T30,0.9508,certifiee
1962,Y31T40,1.1247,certifiee
1962,Y41T50,1.1427,certifiee
1962,Y51T60,1.1321,certifiee
1963,Y26T30,0.9914,certifiee
1963,Y31T40,1.1550,certifiee
1963,Y41T50,1.1830,certifiee
1963,Y51T60,1.1519,certifiee
1964,Y26T30,1.0023,certifiee
1964,Y31T40,1.1653,certifiee
1964,Y41T50,1.2032,certifiee
1964,Y51T60,1.1516,certifiee
1965,Y26T30,1.0124,certifiee
1965,Y31T40,1.1552,certifiee
1965,Y41T50,1.2240,certifiee
1965,Y51T60,1.1625,certifiee
1966,Y26T30,1.0128,certifiee
1966,Y31T40,1.1658,certifiee
1966,Y41T50,1.2247,certifiee
1966,Y51T60,1.1524,certifiee
1967,Y26T30,1.0228,certifiee
1967,Y31T40,1.1556,certifiee
1967,Y41T50,1.2441,certifiee
1967,Y51T60,1.1625,certifiee
1968,Y26T30,1.0131,certifiee
1968,Y31T40,1.1560,certifiee
1968,Y41T50,1.2444,certifiee
1968,Y51T60,1.1625,certifiee
1969,Y26T30,1.0126,certifiee
1969,Y31T40,1.1552,certifiee
1969,Y41T50,1.2343,certifiee
1969,Y51T60,1.1520,certifiee
1970,Y26T30,1.0127,certifiee
1970,Y31T40,1.1556,certifiee
1970,Y41T50,1.2343,certifiee
1970,Y51T60,1.1622,certifiee
1971,Y26T30,1.0127,certifiee
1971,Y31T40,1.1557,certifiee
1971,Y41T50,1.2243,certifiee
1971,Y51T60,1.1626,certifiee
1972,Y26T30,1.0022,certifiee
1972,Y31T40,1.1656,certifiee
1972,Y41T50,1.2240,certifiee
1972,Y51T60,1.1929,certifiee
1973,Y26T30,0.9920,certifiee
1973,Y31T40,1.1656,certifiee
1973,Y41T50,1.2242,certifiee
1973,Y51T60,1.1826,certifiee
1974,Y26T30,0.9819,certifiee
1974,Y31T40,1.1659,certifiee
1974,Y41T50,1.2140,certifiee
1974,Y51T60,1.1928,certifiee
1975,Y26T30,0.9713,certifiee
1975,Y31T40,1.1660,certifiee
1975,Y41T50,1.2138,certifiee
1975,Y51T60,1.2027,certifiee
1976,Y26T30,0.9599,certifiee
1976,Y31T40,1.1538,certifiee
1976,Y41T50,1.2007,certifiee
1976,Y51T60,1.1992,certifiee
1977,Y26T30,0.9518,certifiee
