# Profil de salaire par âge et par section d'activité, France
# source_id: eurostat_profil_salaire_secteur
# unite: rapport sans dimension (1,00 = moyenne de la section)
# fiabilite:
#   certifiee (2018, 2022) : enquête quadriennale sur la structure des
#             salaires, salaire mensuel brut moyen, recontrôlé par
#             scripts/verifier_donnees.py. La France ne publie que trois
#             tranches d'âge à ce niveau ; 2010 et 2014 ne répondent pas,
#             2006 n'a pas la dimension d'activité.
#
# POURQUOI CETTE SOURCE EXISTE ICI. Les régimes spéciaux portaient le
# profil des employés du privé faute de mieux. La section D est le champ
# des industries électriques et gazières, la section H celui où sont la
# SNCF et la RATP : aucune source FRANÇAISE ne ventile le salaire par âge
# pour ces populations.
#
# CE QU'ELLE N'EST PAS : un profil de carrière. Elle est AGRÉGÉE par
# secteur — aucune source ne croise l'âge, le secteur et la profession,
# vérifié chez Eurostat comme chez l'INSEE. Le modèle ne lui prend qu'un
# RAPPORT de pentes, secteur sur ensemble, ce qui suppose ce rapport
# identique à l'intérieur des catégories et en agrégé. Rien ne le
# démontre, et docs/limites.md le dit.
#
# Ne pas modifier à la main : les valeurs seraient écrasées au prochain
# scripts/verifier_donnees.py --appliquer.
secteur,vague,tranche,salaire_relatif,fiabilite
B,2018,Y30-49,1.0836,certifiee
B,2018,Y_GE50,0.9795,certifiee
B,2018,Y_LT30,0.6879,certifiee
B,2022,Y30-49,0.9858,certifiee
B,2022,Y_GE50,1.2027,certifiee
B,2022,Y_LT30,0.6250,certifiee
B-E,2018,Y30-49,0.9955,certifiee
B-E,2018,Y_GE50,1.1196,certifiee
B-E,2018,Y_LT30,0.6587,certifiee
B-E,2022,Y30-49,1.0195,certifiee
B-E,2022,Y_GE50,1.1497,certifiee
B-E,2022,Y_LT30,0.6164,certifiee
B-F,2018,Y30-49,1.0053,certifiee
B-F,2018,Y_GE50,1.1184,certifiee
B-F,2018,Y_LT30,0.6792,certifiee
B-F,2022,Y30-49,1.0251,certifiee
B-F,2022,Y_GE50,1.1526,certifiee
B-F,2022,Y_LT30,0.6444,certifiee
B-N,2018,Y30-49,1.0100,certifiee
B-N,2018,Y_GE50,1.1424,certifiee
B-N,2018,Y_LT30,0.7073,certifiee
B-N,2022,Y30-49,1.0385,certifiee
B-N,2022,Y_GE50,1.1700,certifiee
B-N,2022,Y_LT30,0.6930,certifiee
B-S,2018,Y30-49,0.9972,certifiee
B-S,2018,Y_GE50,1.1261,certifiee
B-S,2018,Y_LT30,0.7361,certifiee
B-S,2022,Y30-49,1.0191,certifiee
B-S,2022,Y_GE50,1.1472,certifiee
B-S,2022,Y_LT30,0.7088,certifiee
B-S_X_O,2018,Y30-49,0.9983,certifiee
B-S_X_O,2018,Y_GE50,1.1409,certifiee
B-S_X_O,2018,Y_LT30,0.7302,certifiee
B-S_X_O,2022,Y30-49,1.0231,certifiee
B-S_X_O,2022,Y_GE50,1.1641,certifiee
B-S_X_O,2022,Y_LT30,0.7035,certifiee
C,2018,Y30-49,0.9968,certifiee
C,2018,Y_GE50,1.1170,certifiee
C,2018,Y_LT30,0.6571,certifiee
C,2022,Y30-49,1.0127,certifiee
C,2022,Y_GE50,1.1572,certifiee
C,2022,Y_LT30,0.6106,certifiee
D,2018,Y30-49,0.9819,certifiee
D,2018,Y_GE50,1.2534,certifiee
D,2018,Y_LT30,0.5819,certifiee
D,2022,Y30-49,1.0533,certifiee
D,2022,Y_GE50,1.2149,certifiee
D,2022,Y_LT30,0.5559,certifiee
E,2018,Y30-49,0.9903,certifiee
E,2018,Y_GE50,1.0641,certifiee
E,2018,Y_LT30,0.7634,certifiee
E,2022,Y30-49,1.0266,certifiee
E,2022,Y_GE50,1.0645,certifiee
E,2022,Y_LT30,0.7795,certifiee
F,2018,Y30-49,1.0429,certifiee
F,2018,Y_GE50,1.0841,certifiee
F,2018,Y_LT30,0.7485,certifiee
F,2022,Y30-49,1.0458,certifiee
F,2022,Y_GE50,1.1336,certifiee
F,2022,Y_LT30,0.7244,certifiee
G,2018,Y30-49,1.0259,certifiee
G,2018,Y_GE50,1.1486,certifiee
G,2018,Y_LT30,0.7451,certifiee
G,2022,Y30-49,1.0629,certifiee
G,2022,Y_GE50,1.2299,certifiee
G,2022,Y_LT30,0.7032,certifiee
G-J,2018,Y30-49,1.0285,certifiee
G-J,2018,Y_GE50,1.1296,certifiee
G-J,2018,Y_LT30,0.7312,certifiee
G-J,2022,Y30-49,1.0462,certifiee
G-J,2022,Y_GE50,1.1959,certifiee
G-J,2022,Y_LT30,0.7202,certifiee
G-S,2018,Y30-49,0.9950,certifiee
G-S,2018,Y_GE50,1.1277,certifiee
G-S,2018,Y_LT30,0.7500,certifiee
G-S,2022,Y30-49,1.0179,certifiee
G-S,2022,Y_GE50,1.1455,certifiee
G-S,2022,Y_LT30,0.7227,certifiee
G-S_X_O,2018,Y30-49,0.9965,certifiee
G-S_X_O,2018,Y_GE50,1.1469,certifiee
G-S_X_O,2018,Y_LT30,0.7443,certifiee
G-S_X_O,2022,Y30-49,1.0225,certifiee
G-S_X_O,2022,Y_GE50,1.1668,certifiee
G-S_X_O,2022,Y_LT30,0.7169,certifiee
H,2018,Y30-49,0.9864,certifiee
H,2018,Y_GE50,1.0820,certifiee
H,2018,Y_LT30,0.7618,certifiee
H,2022,Y30-49,0.9889,certifiee
H,2022,Y_GE50,1.1117,certifiee
H,2022,Y_LT30,0.7378,certifiee
I,2018,Y30-49,1.0397,certifiee
I,2018,Y_GE50,1.0997,certifiee
I,2018,Y_LT30,0.8943,certifiee
I,2022,Y30-49,1.0728,certifiee
I,2022,Y_GE50,1.1612,certifiee
I,2022,Y_LT30,0.8797,certifiee
J,2018,Y30-49,1.0193,certifiee
J,2018,Y_GE50,1.1738,certifiee
