# Mode de résidence des personnes de 65 ans et plus, par âge et par sexe
# source_id: insee_vie_en_couple
# unite: pour cent des personnes de cet âge et de ce sexe
# mode: couple | seul
# annee: 2021 (recensement de la population)
# fiabilite:
#   haute : valeur publiée, lue telle quelle dans le classeur `ip2040.xlsx` de
#           l'*Insee Première* n° 2040 par scripts/fetch/insee_vie_en_couple.py.
#           Aucune certification ne la recontrôle par un second chemin.
#
# À QUOI CETTE SÉRIE SERT
# ------------------------
# À la reprise sur succession de la garantie vieillesse (action 47) : deux
# bénéficiaires en couple laissent DEUX avances sur UNE succession, celle du
# survivant, et une avance deux fois plus grosse est bien moins couverte par
# un patrimoine donné. `cout._reprises_successions` en tire le nombre moyen
# d'avances par succession.
#
# Ne pas modifier à la main : le script réécrit le fichier en entier.
# recupere_le: 2026-09-20
annee,age,sexe,mode,part_pct,fiabilite
2021,65,F,couple,61.8,haute
2021,65,F,seul,29.5,haute
2021,65,H,couple,72.7,haute
2021,65,H,seul,21.0,haute
2021,66,F,couple,61.3,haute
2021,66,F,seul,30.3,haute
2021,66,H,couple,72.8,haute
2021,66,H,seul,21.1,haute
2021,67,F,couple,61.1,haute
2021,67,F,seul,31.0,haute
2021,67,H,couple,73.4,haute
2021,67,H,seul,20.7,haute
2021,68,F,couple,60.1,haute
2021,68,F,seul,32.0,haute
2021,68,H,couple,74.0,haute
2021,68,H,seul,20.5,haute
2021,69,F,couple,59.7,haute
2021,69,F,seul,32.7,haute
2021,69,H,couple,74.2,haute
2021,69,H,seul,20.4,haute
2021,70,F,couple,58.8,haute
2021,70,F,seul,33.5,haute
2021,70,H,couple,74.7,haute
2021,70,H,seul,20.0,haute
2021,71,F,couple,57.9,haute
2021,71,F,seul,34.5,haute
2021,71,H,couple,75.2,haute
2021,71,H,seul,19.9,haute
2021,72,F,couple,56.6,haute
2021,72,F,seul,35.4,haute
2021,72,H,couple,75.1,haute
2021,72,H,seul,19.9,haute
2021,73,F,couple,55.4,haute
2021,73,F,seul,36.6,haute
2021,73,H,couple,75.4,haute
2021,73,H,seul,19.8,haute
2021,74,F,couple,53.9,haute
2021,74,F,seul,37.7,haute
2021,74,H,couple,75.7,haute
