# Espérances de vie par VINGTILE de niveau de vie, France hors Mayotte
# source_id: insee_mortalite_niveau_de_vie
# unite: années (valeur) ; euros par mois (niveau_de_vie_mensuel)
# sexe: H | F
# vingtile: 0 = ensemble, 1 = les 5 % les plus modestes … 20 = les 5 % les
#           plus aisés
# mesure: e0 | e60 | e65
# annee: le MILIEU de la période — 2014 pour 2012-2016, 2022 pour 2020-2024
# fiabilite:
#   haute : lu tel quel dans le classeur de l'INSEE par
#           scripts/fetch/insee_mortalite_niveau_de_vie.py, qui contrôle
#           l'espérance « ensemble » contre celle que le dépôt certifie pour
#           l'année centrale. Le producteur publie ces espérances, le dépôt
#           ne les dérive pas ; mais aucune certification ne les recontrôle
#           par un second chemin, d'où `haute` et non `certifiee`.
#
# À QUOI CETTE SÉRIE SERT
# ------------------------
# À l'axe du REVENU de l'action 14 : le diviseur de conversion est une
# espérance de vie de population générale, la même pour tous, et l'INSEE
# mesure ici treize ans d'écart à la naissance entre les hommes les plus
# modestes et les plus aisés, sept ans à 65 ans. Le modèle en tire, par
# vingtile et par sexe, un facteur sur la force de mortalité de la table
# générale (`DonneesMortalite.facteur_population`, populations
# `niveau_de_vie_v01` à `niveau_de_vie_v20`), et un cas type y est rattaché
# par son niveau de salaire (`population_niveau_de_vie`). Seule la période
# 2020-2024 sert au facteur ; 2012-2016 est gardée pour dire la dérive.
#
# CE QU'IL FAUT SAVOIR AVANT DE S'EN SERVIR
# ------------------------------------------
# - Le niveau de vie est celui du MÉNAGE par unité de consommation, revenu
#   disponible, à la date de l'observation — pas un salaire, pas une carrière.
#   Le rattachement d'un cas type par son salaire est une convention écrite,
#   pas une mesure.
# - Les quotients d'avant 20 ans et d'après 96 ans sont estimés par l'INSEE
#   sous une hypothèse d'écart constant (document de travail 2025-24) ; ils
#   ne pèsent guère sur e65.
# - `niveau_de_vie_mensuel` est le niveau de vie mensuel MOYEN du vingtile
#   sur la période, en euros courants ; vide pour l'ensemble.
# recupere_le: 2026-09-20
periode,annee,sexe,vingtile,mesure,valeur,niveau_de_vie_mensuel,fiabilite
2012-2016,2014,F,0,e0,85.15,,haute
2012-2016,2014,F,0,e60,27.39,,haute
2012-2016,2014,F,0,e65,23.01,,haute
2012-2016,2014,F,1,e0,80.03,466,haute
2012-2016,2014,F,1,e60,24.29,466,haute
2012-2016,2014,F,1,e65,20.45,466,haute
2012-2016,2014,F,2,e0,81.1,762,haute
2012-2016,2014,F,2,e60,24.98,762,haute
2012-2016,2014,F,2,e65,21.04,762,haute
2012-2016,2014,F,3,e0,82.03,910,haute
2012-2016,2014,F,3,e60,25.56,910,haute
2012-2016,2014,F,3,e65,21.52,910,haute
2012-2016,2014,F,4,e0,82.82,1024,haute
2012-2016,2014,F,4,e60,26.03,1024,haute
2012-2016,2014,F,4,e65,21.92,1024,haute
2012-2016,2014,F,5,e0,83.5,1122,haute
2012-2016,2014,F,5,e60,26.42,1122,haute
2012-2016,2014,F,5,e65,22.24,1122,haute
2012-2016,2014,F,6,e0,84.08,1215,haute
2012-2016,2014,F,6,e60,26.74,1215,haute
2012-2016,2014,F,6,e65,22.5,1215,haute
2012-2016,2014,F,7,e0,84.58,1302,haute
2012-2016,2014,F,7,e60,27.0,1302,haute
2012-2016,2014,F,7,e65,22.7,1302,haute
2012-2016,2014,F,8,e0,84.99,1387,haute
2012-2016,2014,F,8,e60,27.22,1387,haute
2012-2016,2014,F,8,e65,22.88,1387,haute
2012-2016,2014,F,9,e0,85.34,1471,haute
2012-2016,2014,F,9,e60,27.41,1471,haute
2012-2016,2014,F,9,e65,23.02,1471,haute
2012-2016,2014,F,10,e0,85.65,1556,haute
2012-2016,2014,F,10,e60,27.58,1556,haute
2012-2016,2014,F,10,e65,23.15,1556,haute
2012-2016,2014,F,11,e0,85.91,1646,haute
2012-2016,2014,F,11,e60,27.73,1646,haute
2012-2016,2014,F,11,e65,23.27,1646,haute
2012-2016,2014,F,12,e0,86.15,1742,haute
2012-2016,2014,F,12,e60,27.88,1742,haute
2012-2016,2014,F,12,e65,23.39,1742,haute
2012-2016,2014,F,13,e0,86.37,1846,haute
