# Cotisants de chaque régime, observés puis projetés
# source_id: cor_regimes
# unite: personnes
# fiabilite:
#   haute (2010-2070) : effectifs publiés par le COR dans les
#             compléments de son rapport annuel, et recontrôlés par
#             scripts/verifier_donnees.py contre son classeur.
#
# À QUOI CETTE SÉRIE SERT
# ------------------------
# À PONDÉRER les cas types du côté de la RECETTE. La page « Coût »
# fait réagir la recette du système 4 par un rapport de cotisations
# calculé sur la grille des cas types ; chaque cas type y pesait
# jusqu'ici le nombre de RETRAITÉS de sa caisse, faute d'une série
# de cotisants, ce qui surreprésentait les régimes qui s'éteignent.
# Cette série donne les cotisants, et les projette : la SNCF n'en a
# plus aucun en 2070, la CNIEG cinquante et un.
#
# CE QU'IL FAUT SAVOIR AVANT DE S'EN SERVIR
# ------------------------------------------
# 1. LE MILLÉSIME. Ces effectifs viennent des compléments du rapport
#    de JUIN 2024, seul millésime publié : ni 2025 ni 2026 ne les
#    ont reconduits. Le reste du dépôt tourne sur le COR 2026.
# 2. L'ANNÉE DE DÉPART VARIE d'une caisse à l'autre : 2010 le plus
#    souvent, 2015 pour la fonction publique d'État, 2019 pour le
#    RCI, 2023 pour la CNRACL. Hors de la fenêtre de chaque caisse,
#    la valeur de bord est reconduite au niveau « estimée ».
# 3. UN COTISANT DE CAISSE N'EST PAS UNE PERSONNE : un polyaffilié
#    compte dans chacune de ses caisses. Les poids qu'on en tire sont
#    RELATIFS, comme ceux des retraités.
# 4. LA FONCTION PUBLIQUE D'ÉTAT EST D'UN SEUL TENANT, civils et
#    militaires confondus. Le partage entre les deux cas types qui
#    la réclament est une décision du modèle, écrite dans
#    donnees/cotisants.py.
#
# Ne pas modifier ces valeurs à la main : elles seraient écrasées
# au prochain scripts/verifier_donnees.py --appliquer.
annee,caisse,cotisants,fiabilite
2010,banque_de_france,12997,haute
2010,cnav,18929468,haute
2010,cnavpl,625430,haute
2010,cnieg,139624,haute
2010,crpcen,42633,haute
2010,crpnpac,31493,haute
2010,enim,32826,haute
2010,erafp,4668504,haute
2010,ircantec,2772091,haute
2010,msa_exploitants,550357,haute
2010,sncf,154554,haute
2011,banque_de_france,12619,haute
2011,cnav,19107884,haute
2011,cnavpl,691328,haute
2011,cnieg,140273,haute
2011,crpcen,42975,haute
2011,crpnpac,32020,haute
2011,enim,32192,haute
2011,erafp,4596948,haute
2011,ircantec,2800761,haute
2011,msa_exploitants,531127,haute
2011,ratp,43349,haute
2011,sncf,152115,haute
2012,banque_de_france,12301,haute
2012,cnav,19123623,haute
2012,cnavpl,802440,haute
2012,cnieg,142271,haute
2012,crpcen,44746,haute
2012,crpnpac,31553,haute
2012,enim,31680,haute
2012,erafp,4684470,haute
2012,ircantec,2792688,haute
2012,msa_exploitants,522619,haute
2012,ratp,42842,haute
2012,sncf,151033,haute
2013,banque_de_france,12011,haute
2013,cnav,19029722,haute
2013,cnavpl,879802,haute
2013,cnieg,144505,haute
2013,crpcen,45517,haute
2013,crpnpac,30441,haute
2013,enim,31190,haute
2013,erafp,4764819,haute
2013,ircantec,2864929,haute
2013,msa_exploitants,514826,haute
2013,ratp,42482,haute
2013,sncf,149323,haute
2014,banque_de_france,11677,haute
2014,cnav,19373820,haute
2014,cnavpl,925696,haute
2014,cnieg,145719,haute
2014,crpcen,44696,haute
2014,crpnpac,30169,haute
2014,enim,30714,haute
2014,erafp,4779403,haute
2014,ircantec,3002171,haute
2014,msa_exploitants,506018,haute
2014,ratp,42460,haute
2014,sncf,147303,haute
2015,banque_de_france,11294,haute
2015,canssm,2236,haute
2015,cnav,19434192,haute
2015,cnavpl,950387,haute
