# Retraités de droit direct, par caisse, France
# source_id: drees_eacr
# unite: personnes
# fiabilite:
#   certifiee (2004-2024) : effectifs de l'enquête annuelle auprès des
#             caisses de retraite, feuille A-Cadrage du classeur diffusé
#             par la DREES, recontrôlés par scripts/verifier_donnees.py.
#
# UNE CAISSE PEUT MANQUER UNE ANNÉE, ET CE N'EST PAS UN OUBLI
# ------------------------------------------------------------
# La DREES ne publie pas toutes les caisses toutes les années : la
# coordination RATP paraît en 2020, 2021, 2023 et 2024, et pas en
# 2022. Le dépôt reconduit alors la dernière valeur connue, comme il
# le fait partout ; mais la série se charge en `ponctuelle` et non en
# escalier, si bien que l'année reconduite tombe au niveau `estimee`.
# Une enquête n'est pas un barème : l'année absente d'un barème n'a
# pas changé, celle d'une enquête n'a pas été MESURÉE, et la dire
# certifiée prêterait au producteur un chiffre qu'il n'a pas publié.
# Le niveau `certifiee` annoncé ci-dessus vaut donc pour les années
# ÉCRITES, et pour elles seules.
#
# À QUOI CETTE SÉRIE SERT
# ------------------------
# À PONDÉRER les cas types de la page « Coût ». Ils ont d'abord pesé
# d'un poids égal, faute de source : l'agent de conduite comptait
# autant que le salarié au salaire moyen, alors qu'il y a cent fois
# moins de retraités à la SNCF qu'à la Cnav. Ces effectifs disent le
# rapport, et la page le porte désormais.
#
# LA CAISSE EST DÉSIGNÉE PAR SON CODE
# ------------------------------------
# La DREES rebaptise ses caisses sans changer leur code — « SSI
# complémentaire » est devenue « RCI complémentaire » —, et elle en
# renumérote : la Cnav porte le code 0010 jusqu'en 2019 puis 0015,
# sur un champ légèrement plus large. Le code est donc conservé tel
# quel, la colonne `caisse` porte le libellé de la dernière campagne,
# et le raccord des deux codes d'une même caisse est une décision du
# modèle, écrite dans donnees/effectifs.py.
#
# CE QU'UN EFFECTIF DE CAISSE N'EST PAS
# --------------------------------------
# Ce n'est pas un effectif de personnes : un polypensionné compte dans
# chacune de ses caisses, et la somme des caisses dépasse d'un tiers le
# « Tous régimes » (code 0000) qui, lui, compte les personnes. C'est la
# raison pour laquelle les poids des cas types sont RELATIFS et que
# docs/limites.md §5 bis dit le sens du biais qui reste.
#
# Ne pas modifier les années certifiées à la main : elles seraient écrasées
# au prochain scripts/verifier_donnees.py --appliquer.
annee,caisse,effectifs,fiabilite
2004,cnav,9920541,certifiee
2004,cnieg,103438,certifiee
2004,ircantec,1270224,certifiee
2004,msa_exploitants,1792004,certifiee
2004,msa_salaries,1819203,certifiee
2004,ratp,27522,certifiee
2004,sncf,191288,certifiee
2004,tous_regimes,12960770,certifiee
2005,cnav,10210256,certifiee
2005,cnieg,103909,certifiee
2005,ircantec,1301718,certifiee
2005,msa_exploitants,1759777,certifiee
2005,msa_salaries,1832559,certifiee
2005,ratp,27836,certifiee
2005,sncf,189925,certifiee
2005,tous_regimes,13262962,certifiee
2006,cnav,10578969,certifiee
2006,cnieg,105332,certifiee
2006,ircantec,1341211,certifiee
2006,msa_exploitants,1721964,certifiee
2006,msa_salaries,1862208,certifiee
2006,ratp,28512,certifiee
2006,sncf,188916,certifiee
2006,tous_regimes,13636368,certifiee
2007,cnav,11006727,certifiee
2007,cnieg,107615,certifiee
2007,ircantec,1383354,certifiee
2007,msa_exploitants,1696911,certifiee
2007,msa_salaries,1893763,certifiee
2007,ratp,29689,certifiee
2007,sncf,188820,certifiee
2007,tous_regimes,14022480,certifiee
2008,cnav,11395340,certifiee
2008,cnieg,110190,certifiee
2008,ircantec,1458856,certifiee
2008,msa_exploitants,1671897,certifiee
2008,msa_salaries,1927005,certifiee
2008,ratp,30369,certifiee
2008,sncf,187005,certifiee
2008,tous_regimes,14417742,certifiee
2009,cnav,11706970,certifiee
2009,cnieg,112636,certifiee
2009,crpcen,54725,certifiee
2009,ircantec,1505210,certifiee
2009,msa_exploitants,1648854,certifiee
2009,msa_salaries,1928996,certifiee
2009,ratp,30554,certifiee
2009,sncf,184406,certifiee
2009,tous_regimes,14743245,certifiee
2010,cnav,12050700,certifiee
2010,cnieg,115218,certifiee
2010,crpcen,56891,certifiee
2010,fonction_publique_etat_civile,1378121,certifiee
2010,fonction_publique_etat_militaire,364762,certifiee
2010,ircantec,1543749,certifiee
2010,msa_exploitants,1605083,certifiee
2010,msa_salaries,1931693,certifiee
2010,ratp,31215,certifiee
2010,sncf,183235,certifiee
2010,tous_regimes,15081956,certifiee
2011,cnav,12268921,certifiee
2011,cnieg,117589,certifiee
2011,cnracl,879126,certifiee
2011,crpcen,58596,certifiee
2011,erafp,7403,certifiee
2011,fonction_publique_etat_civile,1423917,certifiee
2011,fonction_publique_etat_militaire,371869,certifiee
2011,ircantec,1572227,certifiee
2011,msa_exploitants,1562655,certifiee
2011,msa_salaries,1924004,certifiee
2011,ratp,31715,certifiee
2011,sncf,181848,certifiee
2011,tous_regimes,15290615,certifiee
2012,cnav,12415992,certifiee
2012,cnieg,119754,certifiee
2012,cnracl,902715,certifiee
2012,crpcen,59759,certifiee
2012,erafp,14743,certifiee
2012,fonction_publique_etat_civile,1442309,certifiee
2012,fonction_publique_etat_militaire,371688,certifiee
2012,ircantec,1594769,certifiee
2012,msa_exploitants,1494936,certifiee
2012,msa_salaries,1895838,certifiee
2012,ratp,32882,certifiee
2012,sncf,180079,certifiee
2012,tous_regimes,15349151,certifiee
2013,cnav,12693341,certifiee
2013,cnieg,121956,certifiee
2013,cnracl,939650,certifiee
2013,crpcen,60777,certifiee
2013,erafp,25965,certifiee
2013,fonction_publique_etat_civile,1467055,certifiee
2013,fonction_publique_etat_militaire,371439,certifiee
2013,ircantec,1623188,certifiee
2013,msa_exploitants,1448675,certifiee
2013,msa_salaries,1909223,certifiee
2013,ratp,33001,certifiee
2013,rci_complementaire,879725,certifiee
2013,sncf,178638,certifiee
2013,tous_regimes,15629468,certifiee
2014,cnav,12922464,certifiee
2014,cnieg,124843,certifiee
2014,cnracl,973165,certifiee
2014,crpcen,61550,certifiee
2014,erafp,42406,certifiee
2014,fonction_publique_etat_civile,1489696,certifiee
2014,fonction_publique_etat_militaire,371992,certifiee
2014,fspoeie,66532,certifiee
2014,ircantec,1675890,certifiee
2014,msa_exploitants,1441018,certifiee
2014,msa_exploitants_complementaire,706515,certifiee
2014,msa_salaries,1923649,certifiee
2014,ratp,33070,certifiee
2014,rci_complementaire,910959,certifiee
2014,sncf,177223,certifiee
2014,tous_regimes,15828400,certifiee
2015,cnav,13076324,certifiee
2015,cnieg,127614,certifiee
2015,cnracl,1008923,certifiee
2015,crpcen,62408,certifiee
2015,erafp,61686,certifiee
2015,fonction_publique_etat_civile,1506768,certifiee
2015,fonction_publique_etat_militaire,368058,certifiee
2015,fspoeie,66765,certifiee
2015,ircantec,1711871,certifiee
2015,msa_exploitants,1380792,certifiee
2015,msa_exploitants_complementaire,694224,certifiee
