# Ce que les projets annuels de performances du PLF 2026 disent des
# régimes que l'État finance : effectifs, âges, durées, subventions
# source_id: db_pap_regimes_sociaux, db_cas_pensions
# unite: colonne `poste` — `_meur` en millions d'euros, `_mdeur` en
#        milliards, `_eur` en euros par an (par mois pour la pension des
#        nouveaux sédentaires), les âges et durées en années décimales
#        (« 55 ans et 8 mois » s'écrit 55.67), les trimestres et années
#        de flux en moyenne par nouveau pensionné, les ratios en fraction
# fiabilite:
#   moyenne  (exécution)  : valeurs SAISIES à la lecture des PAP, apportés par
#             l'utilisateur ; aucun script ne les revérifie, budget.gouv.fr
#             refusant les adresses de sortie du proxy. Le producteur est la
#             caisse (CPR PF, CRP RATP, ENIM, CANSSM…), le PAP la transcrit :
#             une transcription tierce saisie à la main ne monte pas plus haut.
#   estimee  (prévision, loi de finances) : ce que le PLF 2026 prévoit ou
#             inscrit, pas ce qui a été constaté.
#
# À QUOI CETTE SÉRIE SERT
# ------------------------
# 1. Aux BONIFICATIONS des régimes spéciaux (action 37) : la SNCF publie les
#    années validées ET cotisées du flux de nouveaux pensionnés, la RATP les
#    trimestres validés ET cotisés. L'écart est ce que le régime ajoute à ce
#    qui a été cotisé — 43 trimestres à la RATP en 2023, dix-sept fois moins
#    à la SNCF, dont les bonifications sont dans les années validées.
# 2. Au TAUX D'ÉQUILIBRE des régimes subventionnés (action 2) : la
#    subvention rapportée aux pensions servies — 60 % à la SNCF, 62 % à la
#    RATP en 2023 — est ce que `contribution_employeur_public.csv` laisse
#    dehors par convention, et `docs/limites.md` le dit.
# 3. Aux COTISANTS (action 35) : un point par régime, pas une série, et le
#    ratio démographique 2012-2023 de la SNCF et de la RATP.
#
# CE QU'IL FAUT SAVOIR AVANT DE S'EN SERVIR
# ------------------------------------------
# - `nature` dit si la valeur est constatée (`execution`), prévue par le
#   producteur (`prevision`) ou inscrite au projet de loi de finances
#   (`loi_de_finances`). Les crédits 2026 sont, depuis 2025, une COMPENSATION
#   versée à la CNAV — équilibreur en dernier ressort des régimes fermés
#   (3° de l'article L. 134-3 CSS) —, nette de la compensation démographique
#   et des cotisations perçues par le régime général et l'Agirc-Arrco au
#   titre de la fermeture ; ils ne sont donc PAS comparables à la subvention
#   d'avant 2025, qui allait au régime.
# - `programme` et `page` désignent le PAP (195, 197, 198 ou 741) et sa page
#   IMPRIMÉE, pour qu'un lecteur retrouve chaque valeur.
# - Les effectifs de cotisants ne sont pas ceux de la compensation ni ceux
#   de la fiche 4.1 de la CCSS (voir l'action 35 de la feuille de route) :
#   chaque caisse compte sur son champ et à sa date.
# - Les âges de départ sont ceux des pensionnés de droit direct de l'année ;
#   la SNCF les donne par catégorie, la RATP en un seul chiffre.
annee,regime,poste,valeur,nature,fiabilite,programme,page
2023,canssm,age_moyen_beneficiaires,79.2,execution,moyenne,195,14
2024,canssm,age_moyen_beneficiaires,79.3,execution,moyenne,195,14
2025,canssm,cotisants,655,prevision,estimee,195,14
2026,canssm,credits_etat_meur,830.3,loi_de_finances,estimee,195,14
2024,canssm,engagements_actualises_mdeur,13.1,execution,estimee,195,14
2025,canssm,pension_moyenne_droit_derive_eur,4088,prevision,estimee,195,14
2025,canssm,pension_moyenne_droit_direct_eur,8252,prevision,estimee,195,14
2025,canssm,pensionnes,169283,prevision,estimee,195,14
2025,canssm,pensionnes_droit_direct,84109,prevision,estimee,195,14
2023,comedie_francaise,cotisants,352,execution,moyenne,195,16
2022,comedie_francaise,cotisations_recues_meur,2.249,execution,moyenne,195,16
2023,comedie_francaise,cotisations_recues_meur,2.359,execution,moyenne,195,16
2026,comedie_francaise,credits_etat_meur,4.8,loi_de_finances,estimee,195,16
2023,comedie_francaise,pensionnes,438,execution,moyenne,195,16
2023,comedie_francaise,ratio_demographique,0.8,execution,moyenne,195,16
2023,comedie_francaise,subvention_meur,4.312,execution,moyenne,195,16
2024,enim,cotisants,29037,execution,moyenne,197,14
2025,enim,credits_etat_meur,772.1,loi_de_finances,estimee,197,17
2026,enim,credits_etat_meur,801.9,loi_de_finances,estimee,197,17
2022,enim,depenses_branche_vieillesse_meur,1016.9,execution,moyenne,197,15
2023,enim,depenses_branche_vieillesse_meur,1029.8,execution,moyenne,197,15
2024,enim,depenses_branche_vieillesse_meur,1089.3,execution,moyenne,197,15
2025,enim,depenses_branche_vieillesse_meur,1070.8,prevision,estimee,197,15
2026,enim,depenses_branche_vieillesse_meur,1056.8,prevision,estimee,197,15
2024,enim,pension_moyenne_droit_direct_eur,12288,execution,moyenne,197,14
2025,enim,pension_moyenne_droit_direct_eur,12516,prevision,estimee,197,14
2024,enim,pension_moyenne_reversion_eur,6564,execution,moyenne,197,14
2025,enim,pension_moyenne_reversion_eur,6648,prevision,estimee,197,14
2024,enim,pensionnes,102001,execution,moyenne,197,14
2024,enim,pensions_en_paiement,102667,execution,moyenne,197,14
2026,enim,pensions_servies_meur,1041.7,prevision,estimee,197,13
2024,enim,ratio_demographique,0.28,execution,moyenne,197,14
2026,enim,subvention_meur,788.4,loi_de_finances,estimee,197,14
2023,fonction_publique_etat,age_moyen_depart_militaires,48.92,execution,moyenne,741,5
2024,fonction_publique_etat,age_moyen_depart_sedentaires,64.17,execution,moyenne,741,4
2024,fonction_publique_etat,departs_anticipes_civils,14867,execution,moyenne,741,4
2024,fonction_publique_etat,depenses_pensions_civiles_meur,52523,execution,moyenne,741,19
2025,fonction_publique_etat,depenses_pensions_civiles_meur,53793,prevision,estimee,741,19
