# Salaires forfaitaires des marins, par catégorie et par année
# source_id: jorf_salaires_forfaitaires_marins
# unite: euros courants par an
#
# Cotisations et pensions des marins ne sont pas assises sur le salaire
# réel mais sur un SALAIRE FORFAITAIRE fixé par catégorie de fonction à
# bord — vingt catégories, de l'apprenti à la vingtième — dont le
# montant est fixé par arrêté (décret n° 2020-649, réécrivant le décret
# n° 48-1709). Chaque arrêté est lu dans l'index JORF du dépôt, et la
# grille retenue pour une année est celle en vigueur au 1er juillet.
#
# Une carrière saisie porte un revenu, pas une fonction à bord : le
# moteur range le marin, chaque année, dans la catégorie dont le forfait
# est le plus proche de son revenu annualisé — convention nommée dans
# la fiche `marins` —, et cotise comme il liquide sur ce forfait. Avant
# 2008, la grille de 2008 est ramenée par le salaire moyen (estimee).
#
# Écrit par scripts/verifier_donnees.py --appliquer depuis
# data/brut/jorf_salaires_forfaitaires_marins.json.
regime,annee,categorie,montant_annuel,fiabilite
marins,2008,1,11549.33,certifiee
marins,2008,10,25980.90,certifiee
marins,2008,11,28784.72,certifiee
marins,2008,12,30623.30,certifiee
marins,2008,13,33126.69,certifiee
marins,2008,14,35630.13,certifiee
marins,2008,15,38406.69,certifiee
marins,2008,16,41347.69,certifiee
marins,2008,17,44941.73,certifiee
marins,2008,18,49525.63,certifiee
marins,2008,19,54516.67,certifiee
marins,2008,2,14364.40,certifiee
marins,2008,20,59899.76,certifiee
marins,2008,3,17178.86,certifiee
marins,2008,4,18950.33,certifiee
marins,2008,5,20225.14,certifiee
marins,2008,6,20927.10,certifiee
marins,2008,7,22226.54,certifiee
marins,2008,8,23393.79,certifiee
marins,2008,9,24448.85,certifiee
marins,2009,1,11758.14,certifiee
marins,2009,10,26450.64,certifiee
marins,2009,11,29305.15,certifiee
marins,2009,12,31176.97,certifiee
marins,2009,13,33725.62,certifiee
marins,2009,14,36274.32,certifiee
marins,2009,15,39101.08,certifiee
marins,2009,16,42095.25,certifiee
marins,2009,17,45754.27,certifiee
marins,2009,18,50421.06,certifiee
marins,2009,19,55502.33,certifiee
marins,2009,2,14624.11,certifiee
marins,2009,20,60982.75,certifiee
marins,2009,3,17489.45,certifiee
marins,2009,4,19292.95,certifiee
marins,2009,5,20590.81,certifiee
marins,2009,6,21305.47,certifiee
marins,2009,7,22628.39,certifiee
marins,2009,8,23816.75,certifiee
marins,2009,9,24890.88,certifiee
marins,2010,1,11863.96,certifiee
marins,2010,10,26688.70,certifiee
marins,2010,11,29568.90,certifiee
marins,2010,12,31457.56,certifiee
marins,2010,13,34029.15,certifiee
marins,2010,14,36600.79,certifiee
marins,2010,15,39452.99,certifiee
marins,2010,16,42474.11,certifiee
marins,2010,17,46166.06,certifiee
marins,2010,18,50874.85,certifiee
marins,2010,19,56001.85,certifiee
marins,2010,2,14755.73,certifiee
marins,2010,20,61531.59,certifiee
marins,2010,3,17646.86,certifiee
marins,2010,4,19466.59,certifiee
marins,2010,5,20776.13,certifiee
marins,2010,6,21497.22,certifiee
marins,2010,7,22832.05,certifiee
marins,2010,8,24031.10,certifiee
marins,2010,9,25114.90,certifiee
marins,2011,1,12113.10,certifiee
marins,2011,10,27249.16,certifiee
marins,2011,11,30189.85,certifiee
marins,2011,12,32118.17,certifiee
marins,2011,13,34743.76,certifiee
marins,2011,14,37369.41,certifiee
marins,2011,15,40281.50,certifiee
marins,2011,16,43366.07,certifiee
marins,2011,17,47135.55,certifiee
marins,2011,18,51943.22,certifiee
marins,2011,19,57177.89,certifiee
marins,2011,2,15065.60,certifiee
marins,2011,20,62823.75,certifiee
marins,2011,3,18017.44,certifiee
marins,2011,4,19875.39,certifiee
marins,2011,5,21212.43,certifiee
marins,2011,6,21948.66,certifiee
marins,2011,7,23311.52,certifiee
marins,2011,8,24535.75,certifiee
marins,2011,9,25642.31,certifiee
marins,2012,1,12367.48,certifiee
marins,2012,10,27821.39,certifiee
marins,2012,11,30823.84,certifiee
marins,2012,12,32792.65,certifiee
marins,2012,13,35473.38,certifiee
marins,2012,14,38154.17,certifiee
marins,2012,15,41127.41,certifiee
marins,2012,16,44276.76,certifiee
marins,2012,17,48125.40,certifiee
marins,2012,18,53034.03,certifiee
marins,2012,19,58378.63,certifiee
marins,2012,2,15381.98,certifiee
marins,2012,20,64143.05,certifiee
marins,2012,3,18395.81,certifiee
marins,2012,4,20292.77,certifiee
marins,2012,5,21657.89,certifiee
marins,2012,6,22409.58,certifiee
marins,2012,7,23801.06,certifiee
marins,2012,8,25051.00,certifiee
marins,2012,9,26180.80,certifiee
marins,2013,1,12528.26,certifiee
marins,2013,10,28183.07,certifiee
marins,2013,11,31224.55,certifiee
marins,2013,12,33218.95,certifiee
marins,2013,13,35934.53,certifiee
marins,2013,14,38650.17,certifiee
marins,2013,15,41662.07,certifiee
marins,2013,16,44852.36,certifiee
marins,2013,17,48751.03,certifiee
marins,2013,18,53723.47,certifiee
marins,2013,19,59137.55,certifiee
marins,2013,2,15581.95,certifiee
marins,2013,20,64976.91,certifiee
marins,2013,3,18634.96,certifiee
marins,2013,4,20556.58,certifiee
marins,2013,5,21939.44,certifiee
marins,2013,6,22700.90,certifiee
marins,2013,7,24110.47,certifiee
marins,2013,8,25376.66,certifiee
marins,2013,9,26521.15,certifiee
marins,2014,1,12603.43,certifiee
marins,2014,10,28352.17,certifiee
marins,2014,11,31411.90,certifiee
marins,2014,12,33418.26,certifiee
marins,2014,13,36150.14,certifiee
marins,2014,14,38882.07,certifiee
marins,2014,15,41912.04,certifiee
marins,2014,16,45121.47,certifiee
marins,2014,17,49043.54,certifiee
marins,2014,18,54045.81,certifiee
marins,2014,19,59492.38,certifiee
marins,2014,2,15675.44,certifiee
marins,2014,20,65366.77,certifiee
marins,2014,3,18746.77,certifiee
marins,2014,4,20679.92,certifiee
marins,2014,5,22071.08,certifiee
marins,2014,6,22837.11,certifiee
marins,2014,7,24255.13,certifiee
marins,2014,8,25528.92,certifiee
marins,2014,9,26680.28,certifiee
marins,2015,1,12603.43,certifiee
marins,2015,10,28352.17,certifiee
marins,2015,11,31411.90,certifiee
marins,2015,12,33418.26,certifiee
marins,2015,13,36150.14,certifiee
marins,2015,14,38882.07,certifiee
marins,2015,15,41912.04,certifiee
marins,2015,16,45121.47,certifiee
marins,2015,17,49043.54,certifiee
marins,2015,18,54045.81,certifiee
marins,2015,19,59492.38,certifiee
marins,2015,2,15675.44,certifiee
marins,2015,20,65366.77,certifiee
marins,2015,3,18746.77,certifiee
marins,2015,4,20679.92,certifiee
marins,2015,5,22071.08,certifiee
marins,2015,6,22837.11,certifiee
marins,2015,7,24255.13,certifiee
marins,2015,8,25528.92,certifiee
marins,2015,9,26680.28,certifiee
marins,2016,1,12603.43,certifiee
marins,2016,10,28352.17,certifiee
marins,2016,11,31411.90,certifiee
marins,2016,12,33418.26,certifiee
marins,2016,13,36150.14,certifiee
marins,2016,14,38882.07,certifiee
marins,2016,15,41912.04,certifiee
marins,2016,16,45121.47,certifiee
marins,2016,17,49043.54,certifiee
marins,2016,18,54045.81,certifiee
marins,2016,19,59492.38,certifiee
marins,2016,2,15675.44,certifiee
marins,2016,20,65366.77,certifiee
marins,2016,3,18746.77,certifiee
marins,2016,4,20679.92,certifiee
marins,2016,5,22071.08,certifiee
marins,2016,6,22837.11,certifiee
marins,2016,7,24255.13,certifiee
marins,2016,8,25528.92,certifiee
marins,2016,9,26680.28,certifiee
marins,2017,1,12641.24,certifiee
marins,2017,10,28437.23,certifiee
marins,2017,11,31506.14,certifiee
marins,2017,12,33518.51,certifiee
marins,2017,13,36258.59,certifiee
marins,2017,14,38998.72,certifiee
marins,2017,15,42037.78,certifiee
marins,2017,16,45256.83,certifiee
marins,2017,17,49190.67,certifiee
marins,2017,18,54207.95,certifiee
marins,2017,19,59670.86,certifiee
marins,2017,2,15722.47,certifiee
marins,2017,20,65562.87,certifiee
marins,2017,3,18803.01,certifiee
marins,2017,4,20741.96,certifiee
marins,2017,5,22137.29,certifiee
marins,2017,6,22905.62,certifiee
marins,2017,7,24327.90,certifiee
marins,2017,8,25605.51,certifiee
marins,2017,9,26760.32,certifiee
marins,2018,1,12767.65,certifiee
marins,2018,10,28721.60,certifiee
marins,2018,11,31821.20,certifiee
marins,2018,12,33853.70,certifiee
marins,2018,13,36621.18,certifiee
marins,2018,14,39388.71,certifiee
marins,2018,15,42458.16,certifiee
marins,2018,16,45709.40,certifiee
marins,2018,17,49682.58,certifiee
marins,2018,18,54750.03,certifiee
marins,2018,19,60267.57,certifiee
marins,2018,2,15879.69,certifiee
marins,2018,20,66218.50,certifiee
marins,2018,3,18991.04,certifiee
marins,2018,4,20949.38,certifiee
marins,2018,5,22358.66,certifiee
marins,2018,6,23134.68,certifiee
marins,2018,7,24571.18,certifiee
marins,2018,8,25861.57,certifiee
marins,2018,9,27027.92,certifiee
marins,2019,1,12805.95,certifiee
marins,2019,10,28807.76,certifiee
marins,2019,11,31916.66,certifiee
marins,2019,12,33955.26,certifiee
marins,2019,13,36731.04,certifiee
marins,2019,14,39506.88,certifiee
marins,2019,15,42585.53,certifiee
marins,2019,16,45846.53,certifiee
marins,2019,17,49831.63,certifiee
marins,2019,18,54914.28,certifiee
marins,2019,19,60448.37,certifiee
marins,2019,2,15927.33,certifiee
marins,2019,20,66417.16,certifiee
marins,2019,3,19048.01,certifiee
marins,2019,4,21012.23,certifiee
marins,2019,5,22425.74,certifiee
marins,2019,6,23204.08,certifiee
marins,2019,7,24644.89,certifiee
marins,2019,8,25939.15,certifiee
marins,2019,9,27109.00,certifiee
marins,2020,1,12844.37,certifiee
marins,2020,10,28894.18,certifiee
marins,2020,11,32012.41,certifiee
marins,2020,12,34057.13,certifiee
marins,2020,13,36841.23,certifiee
marins,2020,14,39625.40,certifiee
marins,2020,15,42713.29,certifiee
marins,2020,16,45984.07,certifiee
marins,2020,17,49981.12,certifiee
marins,2020,18,55079.02,certifiee
marins,2020,19,60629.72,certifiee
marins,2020,2,15975.11,certifiee
marins,2020,20,66616.41,certifiee
marins,2020,3,19105.15,certifiee
marins,2020,4,21075.27,certifiee
marins,2020,5,22493.02,certifiee
marins,2020,6,23273.69,certifiee
marins,2020,7,24718.82,certifiee
marins,2020,8,26016.97,certifiee
marins,2020,9,27190.33,certifiee
marins,2021,1,12857.21,certifiee
marins,2021,10,28923.07,certifiee
marins,2021,11,32044.42,certifiee
marins,2021,12,34091.19,certifiee
marins,2021,13,36878.07,certifiee
marins,2021,14,39665.03,certifiee
marins,2021,15,42756.00,certifiee
marins,2021,16,46030.05,certifiee
marins,2021,17,50031.10,certifiee
marins,2021,18,55134.10,certifiee
marins,2021,19,60690.35,certifiee
marins,2021,2,15991.09,certifiee
marins,2021,20,66683.03,certifiee
marins,2021,3,19124.26,certifiee
marins,2021,4,21096.35,certifiee
marins,2021,5,22515.51,certifiee
marins,2021,6,23296.96,certifiee
marins,2021,7,24743.54,certifiee
marins,2021,8,26042.99,certifiee
marins,2021,9,27217.52,certifiee
marins,2022,1,13088.64,certifiee
marins,2022,10,29443.69,certifiee
marins,2022,11,32621.22,certifiee
marins,2022,12,34704.83,certifiee
marins,2022,13,37541.88,certifiee
marins,2022,14,40379.00,certifiee
marins,2022,15,43525.61,certifiee
marins,2022,16,46858.59,certifiee
marins,2022,17,50931.66,certifiee
marins,2022,18,56126.51,certifiee
marins,2022,19,61782.78,certifiee
marins,2022,2,16278.93,certifiee
marins,2022,20,67883.32,certifiee
marins,2022,3,19468.50,certifiee
marins,2022,4,21476.08,certifiee
marins,2022,5,22920.79,certifiee
marins,2022,6,23716.31,certifiee
marins,2022,7,25188.92,certifiee
marins,2022,8,26511.76,certifiee
marins,2022,9,27707.44,certifiee
marins,2023,1,13821.60,certifiee
marins,2023,10,31092.54,certifiee
marins,2023,11,34448.01,certifiee
marins,2023,12,36648.30,certifiee
marins,2023,13,39644.23,certifiee
marins,2023,14,42640.22,certifiee
marins,2023,15,45963.04,certifiee
marins,2023,16,49482.67,certifiee
marins,2023,17,53783.83,certifiee
marins,2023,18,59269.59,certifiee
marins,2023,19,65242.62,certifiee
marins,2023,2,17190.55,certifiee
marins,2023,20,71684.79,certifiee
marins,2023,3,20558.74,certifiee
marins,2023,4,22678.74,certifiee
marins,2023,5,24204.35,certifiee
marins,2023,6,25044.42,certifiee
marins,2023,7,26599.50,certifiee
marins,2023,8,27996.42,certifiee
marins,2023,9,29259.06,certifiee
marins,2024,1,14457.39,certifiee
marins,2024,10,32522.80,certifiee
marins,2024,11,36032.62,certifiee
marins,2024,12,38334.12,certifiee
marins,2024,13,41467.86,certifiee
marins,2024,14,44601.67,certifiee
marins,2024,15,48077.34,certifiee
marins,2024,16,51758.87,certifiee
marins,2024,17,56257.89,certifiee
marins,2024,18,61995.99,certifiee
marins,2024,19,68243.78,certifiee
marins,2024,2,17981.32,certifiee
marins,2024,20,74982.29,certifiee
marins,2024,3,21504.44,certifiee
marins,2024,4,23721.96,certifiee
marins,2024,5,25317.75,certifiee
marins,2024,6,26196.46,certifiee
