# Qui finance chaque régime : cotisations, État, transferts, et ce
# que personne ne couvre
# source_id: cor_regimes
# unite: part du financement du régime pour l'année, en fraction
# fiabilite:
#   haute (2010-2070) : parts publiées par le COR dans les
#             compléments de son rapport annuel, et recontrôlées par
#             scripts/verifier_donnees.py contre son classeur.
#
# À QUOI CETTE SÉRIE SERT
# ------------------------
# À répondre à une question que structure_ressources_retraite.csv
# ne sait poser que pour le système entier : un scénario qui
# remplace tous les taux par 18 % déplace-t-il une charge vers
# l'ÉTAT ou vers les CAISSES ? La réponse dépend du régime. L'État
# finance 86 % de la fonction publique d'État par sa contribution
# d'équilibre, et 61 % de la SNCF par une subvention ; la CNRACL ne
# reçoit rien de lui et porte un besoin de financement que personne
# ne couvre — 7 % en 2023, 49 % en 2070.
#
# CE QU'IL FAUT SAVOIR AVANT DE S'EN SERVIR
# ------------------------------------------
# 1. LE MILLÉSIME. Ces parts viennent des compléments du rapport de
#    JUIN 2024, seul millésime publié : ni 2025 ni 2026 ne les ont
#    reconduits. Le reste du dépôt tourne sur le COR 2026. Mélanger
#    les deux coudrait deux exercices de projection.
# 2. LES ANNÉES. Six seulement — 2010, 2015, 2023, 2030, 2040, 2050
#    et 2070 selon les régimes — parce que le classeur ne publie
#    cette ventilation qu'à ces dates-là. Ce n'est pas une série
#    annuelle, et interpoler serait inventer.
# 3. LES PARTS NE SOMMENT PAS TOUJOURS À UN. Cent couples (régime,
#    année) sur 134 somment à un à un millième près ; les autres
#    s'en écartent jusqu'à onze pour cent. C'est ce que le classeur
#    publie, et on ne normalise pas.
# 4. LA FONCTION PUBLIQUE D'ÉTAT EST D'UN SEUL TENANT, civils et
#    militaires confondus, là où le reste du dépôt les sépare.
#
# Ne pas modifier ces valeurs à la main : elles seraient écrasées
# au prochain scripts/verifier_donnees.py --appliquer.
annee,regime,poste,part,fiabilite
2010,agirc_arrco,autres_produits,0.090836,haute
2010,agirc_arrco,besoin_de_financement,0.000000,haute
2010,agirc_arrco,compensation_demographique,0.000000,haute
2010,agirc_arrco,cotisations,0.835097,haute
2010,agirc_arrco,impots_et_taxes,0.002424,haute
2010,agirc_arrco,subventions_equilibre,0.000000,haute
2010,agirc_arrco,transferts,0.071644,haute
2010,banque_de_france,autres_produits,0.252386,haute
2010,banque_de_france,besoin_de_financement,0.000000,haute
2010,banque_de_france,compensation_demographique,0.000000,haute
2010,banque_de_france,contribution_equilibre_etat,0.662466,haute
2010,banque_de_france,cotisations,0.085148,haute
2010,banque_de_france,impots_et_taxes,0.000000,haute
2010,banque_de_france,transferts,0.000000,haute
2010,canssm,autres_produits,0.195978,haute
2010,canssm,besoin_de_financement,0.015550,haute
2010,canssm,compensation_demographique,0.440788,haute
2010,canssm,cotisations,0.017306,haute
2010,canssm,impots_et_taxes,0.001772,haute
2010,canssm,subventions_equilibre,0.313650,haute
2010,canssm,transferts,0.012717,haute
2010,cnav,autres_produits,0.007124,haute
2010,cnav,besoin_de_financement,0.086306,haute
2010,cnav,compensation_demographique,0.000000,haute
2010,cnav,cotisations,0.598007,haute
2010,cnav,impots_et_taxes,0.105983,haute
2010,cnav,subventions_equilibre,0.000000,haute
2010,cnav,transferts,0.202580,haute
2010,cnavpl,autres_produits,0.016615,haute
2010,cnavpl,besoin_de_financement,0.012361,haute
2010,cnavpl,compensation_demographique,0.000000,haute
2010,cnavpl,cotisations,0.968996,haute
2010,cnavpl,impots_et_taxes,0.001070,haute
2010,cnavpl,subventions_equilibre,0.000000,haute
2010,cnavpl,transferts,0.001005,haute
2010,cnavpl_complementaire,autres_produits,0.321270,haute
2010,cnavpl_complementaire,besoin_de_financement,0.000000,haute
2010,cnavpl_complementaire,compensation_demographique,0.000000,haute
