# Taux de cotisation vieillesse ANNÉE PAR ANNÉE, régime par régime
# source_id: openfisca_cotisations
#
# Les fiches de data/reference/regimes/ portent un taux par période
# législative — une moyenne de dix à vingt-sept ans, écrite comme telle
# dans leurs notes. Le droit a changé ce taux presque chaque année, et
# c'est lui qui alimente le compte notionnel. Le chargeur des fiches
# (CatalogueRegimes) découpe donc chaque période `plafonnee` de ces
# régimes selon cette table, année par année ; la moyenne de la fiche
# ne sert plus qu'aux années que la table ne couvre pas.
#
# mesure :
#   taux_plafonne              : salarié + employeur, sous plafond
#   part_salariale             : fraction du précédent supportée par le salarié
#   taux_deplafonne            : salarié + employeur, sur la totalité du salaire
#   part_salariale_deplafonnee : fraction du précédent supportée par le salarié
#
# Les non-salariés (cancava, organic, rsi) n'ont que les taux : ils
# paient tout, et la fiche le sait (part_salariale : 1). Les cultes
# (R. 382-89 et R. 382-90), Mayotte et Saint-Pierre-et-Miquelon suivent la
# série du régime général, dont leurs fiches recopiaient les moyennes.
#
# Écrit par scripts/verifier_donnees.py --appliquer depuis
# data/brut/openfisca_cotisations.json ; OpenFisca transcrit les
# décrets sans en être le producteur, d'où le niveau `haute`.
regime,annee,mesure,valeur,fiabilite
cancava,1973,taux_plafonne,0.087500,haute
cancava,1974,taux_plafonne,0.102500,haute
cancava,1975,taux_plafonne,0.102500,haute
cancava,1976,taux_plafonne,0.111500,haute
cancava,1977,taux_plafonne,0.111500,haute
cancava,1978,taux_plafonne,0.111500,haute
cancava,1979,taux_plafonne,0.129000,haute
cancava,1980,taux_plafonne,0.129000,haute
cancava,1981,taux_plafonne,0.129000,haute
cancava,1982,taux_plafonne,0.129000,haute
cancava,1983,taux_plafonne,0.129000,haute
cancava,1984,taux_plafonne,0.139000,haute
cancava,1985,taux_plafonne,0.139000,haute
cancava,1986,taux_plafonne,0.146000,haute
cancava,1987,taux_plafonne,0.148000,haute
cancava,1988,taux_plafonne,0.148000,haute
cancava,1989,taux_plafonne,0.158000,haute
cancava,1990,taux_plafonne,0.158000,haute
cancava,1991,taux_plafonne,0.163500,haute
cancava,1992,taux_plafonne,0.163500,haute
cancava,1993,taux_plafonne,0.163500,haute
cancava,1994,taux_plafonne,0.163500,haute
cancava,1995,taux_plafonne,0.163500,haute
cancava,1996,taux_plafonne,0.163500,haute
cancava,1997,taux_plafonne,0.163500,haute
cancava,1998,taux_plafonne,0.163500,haute
cancava,1999,taux_plafonne,0.163500,haute
cancava,2000,taux_plafonne,0.163500,haute
cancava,2001,taux_plafonne,0.163500,haute
cancava,2002,taux_plafonne,0.163500,haute
cancava,2003,taux_plafonne,0.163500,haute
cancava,2004,taux_plafonne,0.164500,haute
cancava,2005,taux_plafonne,0.164500,haute
cavimac,1979,part_salariale,0.364341,haute
cavimac,1979,part_salariale_deplafonnee,0.000000,haute
