id,texte,article,debut,fin,inscrite_le
LEGIARTI000006381569,arrete_1970_12_30,1,1971-02-09,1999-12-26,
LEGIARTI000006381570,arrete_1970_12_30,1,1999-12-26,2008-09-25,
LEGIARTI000019511894,arrete_1970_12_30,1,2008-09-25,2015-10-22,
LEGIARTI000031347964,arrete_1970_12_30,1,2015-10-22,2018-03-31,
LEGIARTI000036755319,arrete_1970_12_30,1,2018-03-31,2020-10-15,
LEGIARTI000042421637,arrete_1970_12_30,1,2020-10-15,2023-11-06,
LEGIARTI000048364673,arrete_1970_12_30,1,2023-11-06,2024-06-07,
LEGIARTI000049664784,arrete_1970_12_30,1,2024-06-07,2024-07-04,
LEGIARTI000049864972,arrete_1970_12_30,1,2024-07-04,,
LEGIARTI000006381571,arrete_1970_12_30,2,1983-08-31,1999-12-26,
LEGIARTI000006381572,arrete_1970_12_30,2,1999-12-26,2008-09-25,
LEGIARTI000019511898,arrete_1970_12_30,2,2008-09-25,2018-01-01,
LEGIARTI000036249235,arrete_1970_12_30,2,2018-01-01,2018-03-31,
LEGIARTI000036755316,arrete_1970_12_30,2,2018-03-31,2018-12-21,
LEGIARTI000037845468,arrete_1970_12_30,2,2018-12-21,,
LEGIARTI000006381573,arrete_1970_12_30,3,1971-02-09,2008-09-25,
LEGIARTI000019511901,arrete_1970_12_30,3,2008-09-25,,
LEGIARTI000006381574,arrete_1970_12_30,3 bis,1987-05-06,,
LEGIARTI000006381575,arrete_1970_12_30,4,1971-02-09,2008-09-25,
LEGIARTI000019511904,arrete_1970_12_30,4,2008-09-25,2018-03-31,
LEGIARTI000036755311,arrete_1970_12_30,4,2018-03-31,,
LEGIARTI000006381576,arrete_1970_12_30,5,1971-02-09,,
LEGIARTI000006381577,arrete_1970_12_30,6,1971-02-09,,
LEGIARTI000006381578,arrete_1970_12_30,7,1971-02-09,2018-03-31,
LEGIARTI000036755305,arrete_1970_12_30,7,2018-03-31,,
LEGIARTI000006381579,arrete_1970_12_30,8,1971-02-09,1989-01-01,
LEGIARTI000006381580,arrete_1970_12_30,8,1989-01-01,2008-09-25,
LEGIARTI000019511907,arrete_1970_12_30,8,2008-09-25,2018-03-31,
LEGIARTI000036755302,arrete_1970_12_30,8,2018-03-31,,
LEGIARTI000006381581,arrete_1970_12_30,9,1971-02-09,1989-01-03,
LEGIARTI000006381582,arrete_1970_12_30,9,1989-01-03,2018-03-31,
