annee;variante;pib_mdeur_courants;pensions_pib;garantie_brute_pib;reprises_pib;depense_totale_pib;recettes_pib;cotisations_pib;pilier_obligatoire_pib;tva_affectee_pib;solde_regime_pib;solde_regime_plus_garantie_pib;coefficient_equilibre;dette_pib;sc1_depenses_pib;sc1_recettes_pib;sc1_solde_pib;ecart_de_solde_pib
2026;retroactive;3065,5;8,798;0,450;0,008;9,241;8,166;7,763;2,156;0,000;-0,632;-1,074;0,928;0,632;14,126;13,964;-0,162;-0,913
2027;retroactive;3143,9;8,757;0,449;0,016;9,190;8,350;7,946;2,207;0,000;-0,407;-0,840;0,954;1,042;14,225;14,001;-0,224;-0,616
2028;retroactive;3233,5;8,687;0,440;0,024;9,103;8,477;8,073;2,243;0,000;-0,210;-0,626;0,976;1,257;14,229;13,990;-0,239;-0,386
2029;retroactive;3327,8;8,615;0,433;0,031;9,017;8,505;8,103;2,251;0,000;-0,111;-0,512;0,987;1,373;14,102;13,930;-0,172;-0,340
2030;retroactive;3428,2;8,766;0,425;0,038;9,153;8,501;8,100;2,250;0,000;-0,265;-0,652;0,970;1,642;14,074;13,875;-0,199;-0,452
2031;retroactive;3532,3;8,970;0,417;0,045;9,342;8,379;7,981;2,217;0,000;-0,591;-0,963;0,934;2,238;14,033;13,789;-0,244;-0,719
2032;retroactive;3637,8;9,037;0,410;0,052;9,395;8,417;8,021;2,228;0,000;-0,620;-0,978;0,931;2,870;14,000;13,738;-0,262;-0,716
2033;retroactive;3745,8;9,051;0,402;0,058;9,395;8,439;8,044;2,234;0,000;-0,613;-0,956;0,932;3,503;13,958;13,686;-0,273;-0,684
2034;retroactive;3848,2;9,183;0,391;0,064;9,510;8,425;8,031;2,231;0,000;-0,759;-1,085;0,917;4,299;13,974;13,635;-0,340;-0,746
2035;retroactive;3953,4;9,264;0,382;0,070;9,577;8,428;8,036;2,232;0,000;-0,836;-1,148;0,910;5,185;13,989;13,606;-0,383;-0,765
2036;retroactive;4059,0;9,349;0,375;0,076;9,647;8,429;8,037;2,233;0,000;-0,920;-1,218;0,902;6,174;14,002;13,574;-0,428;-0,790
2037;retroactive;4164,7;9,439;0,368;0,083;9,724;8,451;8,060;2,239;0,000;-0,988;-1,273;0,895;7,252;14,028;13,541;-0,487;-0,786
2038;retroactive;4274,3;9,516;0,361;0,089;9,788;8,433;8,044;2,234;0,000;-1,083;-1,355;0,886;8,443;14,037;13,507;-0,530;-0,825
2039;retroactive;4386,9;9,592;0,354;0,095;9,851;8,415;8,026;2,229;0,000;-1,177;-1,436;0,877;9,749;14,043;13,470;-0,573;-0,864
2040;retroactive;4500,2;9,650;0,346;0,100;9,896;8,407;8,019;2,228;0,000;-1,243;-1,489;0,871;11,147;14,044;13,434;-0,610;-0,879
2041;retroactive;4611,8;9,704;0,339;0,105;9,938;8,405;8,018;2,227;0,000;-1,299;-1,533;0,866;12,635;14,055;13,402;-0,653;-0,880
2042;retroactive;4724,6;9,746;0,332;0,110;9,968;8,433;8,047;2,235;0,000;-1,313;-1,535;0,865;14,164;14,069;13,368;-0,701;-0,834
2043;retroactive;4836,1;9,785;0,326;0,114;9,997;8,428;8,043;2,234;0,000;-1,357;-1,569;0,861;15,774;14,098;13,339;-0,759;-0,810
2044;retroactive;4947,9;9,818;0,320;0,118;10,020;8,429;8,045;2,235;0,000;-1,389;-1,591;0,859;17,447;14,133;13,308;-0,824;-0,766
2045;retroactive;5060,2;9,834;0,315;0,122;10,027;8,441;8,058;2,238;0,000;-1,393;-1,586;0,858;19,156;14,165;13,279;-0,885;-0,701
2046;retroactive;5170,3;9,858;0,311;0,126;10,043;8,435;8,052;2,237;0,000;-1,423;-1,608;0,856;20,935;14,197;13,250;-0,946;-0,662
2047;retroactive;5282,0;9,875;0,307;0,129;10,053;8,453;8,071;2,242;0,000;-1,422;-1,600;0,856;22,739;14,224;13,221;-1,003;-0,597
2048;retroactive;5394,1;9,886;0,304;0,133;10,058;8,434;8,053;2,237;0,000;-1,452;-1,624;0,853;24,604;14,266;13,196;-1,071;-0,553
2049;retroactive;5508,5;9,882;0,301;0,135;10,047;8,430;8,050;2,236;0,000;-1,452;-1,617;0,853;26,487;14,315;13,171;-1,144;-0,472
2050;retroactive;5621,9;9,869;0,298;0,138;10,029;8,431;8,051;2,236;0,000;-1,438;-1,598;0,854;28,392;14,365;13,147;-1,218;-0,380
2051;retroactive;5737,0;9,855;0,296;0,141;10,010;8,428;8,049;2,236;0,000;-1,427;-1,582;0,855;30,304;14,415;13,126;-1,289;-0,293
2052;retroactive;5854,7;9,835;0,294;0,143;9,987;8,445;8,067;2,241;0,000;-1,390;-1,542;0,859;32,192;14,457;13,101;-1,356;-0,186
2053;retroactive;5974,3;9,798;0,293;0,144;9,946;8,435;8,057;2,238;0,000;-1,363;-1,511;0,861;34,066;14,505;13,083;-1,423;-0,089
2054;retroactive;6097,0;9,753;0,291;0,146;9,899;8,424;8,046;2,235;0,000;-1,330;-1,475;0,864;35,909;14,551;13,064;-1,487;0,012
2055;retroactive;6223,5;9,692;0,290;0,147;9,835;8,422;8,045;2,235;0,000;-1,270;-1,413;0,869;37,689;14,585;13,046;-1,538;0,125
2056;retroactive;6350,0;9,632;0,289;0,148;9,774;8,414;8,038;2,233;0,000;-1,218;-1,359;0,874;39,435;14,621;13,030;-1,591;0,232
2057;retroactive;6479,7;9,560;0,289;0,149;9,700;8,431;8,056;2,238;0,000;-1,129;-1,269;0,882;41,251;14,651;13,012;-1,639;0,370
2058;retroactive;6611,6;9,475;0,288;0,150;9,613;8,416;8,041;2,234;0,000;-1,059;-1,197;0,888;43,031;14,681;12,998;-1,683;0,486
2059;retroactive;6747,1;9,375;0,287;0,150;9,512;8,409;8,034;2,232;0,000;-0,965;-1,102;0,897;44,744;14,704;12,981;-1,723;0,621
2060;retroactive;6883,9;9,272;0,287;0,151;9,408;8,411;8,037;2,233;0,000;-0,860;-0,996;0,907;46,391;14,737;12,968;-1,769;0,773
2061;retroactive;7021,9;9,174;0,287;0,151;9,310;8,410;8,036;2,232;0,000;-0,764;-0,900;0,917;47,981;14,779;12,957;-1,821;0,921
2062;retroactive;7162,1;9,081;0,287;0,152;9,216;8,429;8,055;2,238;0,000;-0,652;-0,787;0,928;49,492;14,823;12,948;-1,875;1,088
2063;retroactive;7304,7;8,976;0,287;0,152;9,111;8,422;8,049;2,236;0,000;-0,554;-0,689;0,938;50,934;14,878;12,940;-1,939;1,250
2064;retroactive;7448,7;8,882;0,288;0,153;9,018;8,414;8,040;2,233;0,000;-0,469;-0,604;0,947;52,327;14,954;12,933;-2,020;1,416
2065;retroactive;7592,7;8,786;0,289;0,153;8,921;8,416;8,043;2,234;0,000;-0,369;-0,505;0,958;53,666;15,037;12,931;-2,107;1,601
2066;retroactive;7737,0;8,691;0,290;0,154;8,827;8,408;8,035;2,232;0,000;-0,283;-0,419;0,967;54,960;15,109;12,926;-2,183;1,764
2067;retroactive;7885,6;8,588;0,292;0,155;8,724;8,424;8,051;2,236;0,000;-0,164;-0,301;0,981;56,149;15,168;12,922;-2,246;1,945
2068;retroactive;8038,1;8,477;0,293;0,155;8,614;8,444;8,071;2,242;0,000;-0,033;-0,170;0,996;57,221;15,224;12,920;-2,304;2,134
2069;retroactive;8193,2;8,359;0,293;0,156;8,496;8,473;8,100;2,250;0,000;0,115;-0,023;1,014;58,168;15,268;12,917;-2,351;2,328
2070;retroactive;8352,0;8,239;0,294;0,156;8,377;8,513;8,140;2,261;0,000;0,274;0,136;1,033;58,969;15,300;12,910;-2,389;2,526
2026;prospective;3065,5;12,155;0,240;0,004;12,391;8,166;7,763;2,156;0,000;-3,989;-4,224;0,672;3,989;14,126;13,964;-0,162;-4,063
2027;prospective;3143,9;12,073;0,244;0,009;12,309;8,350;7,946;2,207;0,000;-3,723;-3,959;0,692;7,729;14,225;14,001;-0,224;-3,735
2028;prospective;3233,5;11,879;0,245;0,013;12,112;8,477;8,073;2,243;0,000;-3,402;-3,634;0,714;11,172;14,229;13,990;-0,239;-3,395
2029;prospective;3327,8;11,692;0,248;0,018;11,922;8,505;8,103;2,251;0,000;-3,187;-3,418;0,727;14,403;14,102;13,930;-0,172;-3,246
2030;prospective;3428,2;11,797;0,250;0,022;12,025;8,501;8,100;2,250;0,000;-3,296;-3,524;0,721;17,742;14,074;13,875;-0,199;-3,324
2031;prospective;3532,3;11,976;0,252;0,027;12,201;8,379;7,981;2,217;0,000;-3,597;-3,822;0,700;21,404;14,033;13,789;-0,244;-3,578
